p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;5;2013;70546200;56557176;36738196;20496576;33133890;3604303.5;36222292;29292558;15860261;13754192;13868294;1991967.1;ANTIOQUIA
hombre;5;2015;71662512;57911524;36731584;21785098;33159006;3572575.5;34901612;27781070;20966908;7187485;19303536;1663371.8;ANTIOQUIA
mujer;5;2016;70799800;57476396;36207112;21818226;32647798;3559316;36570772;30022736;15518650;14778605;13489801;2028849.6;ANTIOQUIA
mujer;5;2014;69361648;55842808;35926736;20554252;32527784;3398950;35484880;29021160;15495399;13749340;13659347;1836052;ANTIOQUIA
hombre;5;2014;69361648;55842808;35926736;20554252;32527784;3398950;33876768;26821650;20431336;6804911;18868438;1562898;ANTIOQUIA
hombre;5;2016;70799800;57476396;36207112;21818226;32647798;3559316;34229028;27453658;20688464;7039620;19157996;1530466.5;ANTIOQUIA
hombre;5;2017;70016336;56853456;36501000;20925510;32738380;3762621.8;33884088;27051342;20621924;6798970.5;18982080;1639843.4;ANTIOQUIA
hombre;5;2018;70569288;57722140;36519640;21650046;32459380;4060261.3;34288448;27713378;20899234;7054273;19046604;1852629.9;ANTIOQUIA
mujer;5;2011;68830568;54777356;34189128;21145334;30530540;3658588.8;35354012;28474746;14417058;14306344;12414995;2002062.3;ANTIOQUIA
hombre;5;2012;69367392;55495416;35851676;18989238;31952890;3898784.8;34012220;26860384;20446620;6274514.5;18771298;1675321.4;ANTIOQUIA
mujer;5;2017;70016336;56853456;36501000;20925510;32738380;3762621.8;36132248;29802112;15879078;14126540;13756299;2122778.5;ANTIOQUIA
hombre;5;2019;72491832;59065220;37213432;22360498;32977402;4236028;35157180;28303072;21351134;7211455.5;19460086;1891049.1;ANTIOQUIA
mujer;5;2019;72491832;59065220;37213432;22360498;32977402;4236028;37334652;30762146;15862296;15149042;13517317;2344979;ANTIOQUIA
mujer;5;2012;69367392;55495416;35851676;18989238;31952890;3898784.8;35355168;28635032;15405056;12714724;13181592;2223463.5;ANTIOQUIA
mujer;5;2018;70569288;57722140;36519640;21650046;32459380;4060261.3;36280836;30008762;15620408;14595774;13412777;2207631.3;ANTIOQUIA
hombre;5;2011;68830568;54777356;34189128;21145334;30530540;3658588.8;33476560;26302612;19772070;6838991;18115544;1656526.5;ANTIOQUIA
mujer;5;2015;71662512;57911524;36731584;21785098;33159006;3572575.5;36760904;30130452;15764674;14597614;13855470;1909203.8;ANTIOQUIA
hombre;5;2013;70546200;56557176;36738196;20496576;33133890;3604303.5;34323904;27264616;20877934;6742384.5;19265598;1612336.5;ANTIOQUIA
mujer;8;2015;30317882;23889968;15028690;9017723;13838767;1189923.3;15280714;12154445;6368474.5;5852434.5;5623199.5;745275.19;ATLANTICO
mujer;8;2012;29243412;22843584;13562794;8648246;12495829;1066964.9;14847106;11700700;5556804;5701944.5;4906239.5;650564.25;ATLANTICO
mujer;8;2016;30876960;24372586;15405771;9088116;14249632;1156138.8;15492555;12368419;6595203;5835029.5;5889198.5;706004.44;ATLANTICO
mujer;8;2014;30254356;23671624;14364270;9439550;13293395;1070875.1;15293157;12031133;5866329;6234647.5;5228932;637396.88;ATLANTICO
hombre;8;2018;31463312;25092360;15741574;9497867;14557604;1183970;15522608;12293353;9090987;3288662.3;8637075;453912.75;ATLANTICO
mujer;8;2018;31463312;25092360;15741574;9497867;14557604;1183970;15940704;12799006;6650586.5;6209205;5920529.5;730057.25;ATLANTICO
hombre;8;2017;31204750;24695540;15400557;9404148;14287984;1112573.5;15423705;12125532;8889301;3301661.8;8484103;405198.34;ATLANTICO
hombre;8;2016;30876960;24372586;15405771;9088116;14249632;1156138.8;15384405;12004166;8810568;3253086;8360434;450134.34;ATLANTICO
hombre;8;2013;29605256;23160334;13851003;9495350;12837899;1013104.2;14673243;11343785;8139838;3311075.5;7741710.5;398127.72;ATLANTICO
hombre;8;2019;31865530;25436578;15919688;9666000;14802002;1117686.6;15722259;12418671;9128609;3371643.3;8689497;439111.78;ATLANTICO
hombre;8;2014;30254356;23671624;14364270;9439550;13293395;1070875.1;14961200;11640491;8497941;3204902.8;8064462.5;433478.25;ATLANTICO
mujer;8;2019;31865530;25436578;15919688;9666000;14802002;1117686.6;16143271;13017907;6791079.5;6294356.5;6112504.5;678574.81;ATLANTICO
mujer;8;2017;31204750;24695540;15400557;9404148;14287984;1112573.5;15781045;12570007;6511256;6102486;5803880.5;707375.19;ATLANTICO
hombre;8;2015;30317882;23889968;15028690;9017723;13838767;1189923.3;15037167;11735522;8660216;3165288.8;8215567.5;444648;ATLANTICO
mujer;8;2013;29605256;23160334;13851003;9495350;12837899;1013104.2;14932012;11816550;5711165;6184274.5;5096188.5;614976.5;ATLANTICO
hombre;8;2012;29243412;22843584;13562794;8648246;12495829;1066964.9;14396305;11142883;8005990;2946301.5;7589589;416400.63;ATLANTICO
hombre;8;2011;29137660;22666674;13361657;9447054;12319551;1042105.6;14438244;11118719;8016847.5;3168278.8;7585333;431514.78;ATLANTICO
mujer;8;2011;29137660;22666674;13361657;9447054;12319551;1042105.6;14699416;11547955;5344809.5;6278775;4734218.5;610590.81;ATLANTICO
hombre;11;2016;95578912;78285176;55390332;22895614;50247240;5143092;46242648;37369468;28971520;8398721;26504868;2466651;BOGOTA
hombre;11;2017;96790848;79441032;55321964;24119070;49508892;5813069.5;46855068;37952336;29139546;8812791;26293944;2845603;BOGOTA
hombre;11;2012;90695952;73492712;53000772;18862650;47944016;5056756.5;43762944;34953524;27611258;6702137;25402406;2208852;BOGOTA
hombre;11;2013;91954656;74735128;53779416;20959124;48925488;4853929;44402224;35579584;27784292;7798035.5;25677096;2107197;BOGOTA
hombre;11;2019;99185504;81742928;56395268;25348502;50246860;6148408;48072584;39110008;29672078;9437930;26804238;2867838.8;BOGOTA
mujer;11;2012;90695952;73492712;53000772;18862650;47944016;5056756.5;46933008;38539188;25389512;12160512;22541608;2847904.3;BOGOTA
mujer;11;2013;91954656;74735128;53779416;20959124;48925488;4853929;47552428;39155544;25995122;13161089;23248390;2746732;BOGOTA
mujer;11;2019;99185504;81742928;56395268;25348502;50246860;6148408;51112916;42632924;26723192;15910571;23442622;3280569;BOGOTA
mujer;11;2011;89471800;72255336;51256496;21000660;46374732;4881764;46334544;37926076;24818886;13109009;22012956;2805930.5;BOGOTA
hombre;11;2014;93169136;75934208;55032252;20903176;50256176;4776074.5;45022928;36187940;28562100;7627061;26519126;2042973.9;BOGOTA
hombre;11;2011;89471800;72255336;51256496;21000660;46374732;4881764;43137256;34329260;26437608;7891650;24361774;2075833.6;BOGOTA
mujer;11;2014;93169136;75934208;55032252;20903176;50256176;4776074.5;48146212;39746264;26470150;13276114;23737050;2733100.5;BOGOTA
mujer;11;2017;96790848;79441032;55321964;24119070;49508892;5813069.5;49935780;41488696;26182416;15306280;23214950;2967466.5;BOGOTA
mujer;11;2018;98033880;80623920;55727944;24900498;49882376;5845565;50545096;42074760;26249822;15829459;23220040;3029781.3;BOGOTA
hombre;11;2015;94362728;77116072;55237892;21878178;50411540;4826353.5;45623188;36782140;28809298;7972840.5;26671550;2137749.3;BOGOTA
mujer;11;2015;94362728;77116072;55237892;21878178;50411540;4826353.5;48739540;40333932;26428594;13905337;23739990;2688604.3;BOGOTA
hombre;11;2018;98033880;80623920;55727944;24900498;49882376;5845565;47488784;38549160;29478122;9071039;26662338;2815783.8;BOGOTA
mujer;11;2016;95578912;78285176;55390332;22895614;50247240;5143092;49336264;40915704;26418812;14496893;23742372;2676441;BOGOTA
hombre;13;2019;26907682;20789260;12554074;8528207;11934712;619361.81;13525863;10432414;7666332;2916280.8;7405634;260698.19;BOLIVAR
hombre;13;2017;26293244;20105674;12027541;8400544;11303882;723658.5;13230058;10059188;7281645;2966879;6988878.5;292766.5;BOLIVAR
hombre;13;2014;25309134;19195310;11510059;8007880;10768344;741714.75;12655740;9576509;7011330.5;2719107.3;6721960.5;289370.19;BOLIVAR
mujer;13;2019;26907682;20789260;12554074;8528207;11934712;619361.81;13381819;10356845;4887741.5;5611926.5;4529078;358663.59;BOLIVAR
hombre;13;2015;25549416;19539886;11829181;7979593.5;11027572;801608.81;12918521;9854732;7240195;2744487.3;6910377.5;329817.06;BOLIVAR
mujer;13;2012;24735228;18590434;11344639;7014590;10481347;863292.31;12338080;9363599;4436455.5;4657144.5;3913672;522783.66;BOLIVAR
hombre;13;2016;25755422;19798652;11829515;8282253.5;11043525;785989.88;12913310;9935675;7350588.5;2727480.3;7036680.5;313908.06;BOLIVAR
mujer;13;2013;25015328;18968456;11332882;7886382.5;10485691;847190.81;12493512;9522896;4383100.5;5270685.5;3855142.8;527957.88;BOLIVAR
hombre;13;2013;25015328;18968456;11332882;7886382.5;10485691;847190.81;12521816;9445560;6949781.5;2615697;6630549;319232.97;BOLIVAR
mujer;13;2017;26293244;20105674;12027541;8400544;11303882;723658.5;13063187;10046486;4745896;5433665.5;4315004;430892;BOLIVAR
mujer;13;2014;25309134;19195310;11510059;8007880;10768344;741714.75;12653393;9618800;4498728.5;5288772.5;4046384;452344.56;BOLIVAR
mujer;13;2011;24455152;18447444;10735106;8037789;9893091;842015;12153189;9240271;3957952.8;5431618;3451221;506731.81;BOLIVAR
hombre;13;2018;26645354;20392240;12278127;8429876;11576034;702092.81;13384786;10123121;7448991;2876913;7201275.5;247715.42;BOLIVAR
hombre;13;2012;24735228;18590434;11344639;7014590;10481347;863292.31;12397149;9226834;6908183.5;2357445.3;6567675;340508.66;BOLIVAR
mujer;13;2015;25549416;19539886;11829181;7979593.5;11027572;801608.81;12630895;9685154;4588986;5235106;4117194;471791.75;BOLIVAR
