p6020;año;pt;pet;pea;pei;empleados;desempleados;pt_gen;pet_gen;pea_gen;pei_gen;empleados_gen;desempleados_gen
hombre;2011;536819200;417221184;269347264;153628080;240234128;29113144;264783520;203518896;155196608;51452296;142505936;12690682
mujer;2011;536819200;417221184;269347264;153628080;240234128;29113144;272035680;213702288;114150664;102175792;97728200;16422463
hombre;2012;543044480;423476480;277087744;143205760;248357008;28730720;267867616;206623184;158199664;48367992;145790496;12409163
mujer;2012;543044480;423476480;277087744;143205760;248357008;28730720;275176864;216853312;118888072;94837768;102566520;16321556
hombre;2013;549291392;429789792;279498688;156180992;252578320;26920360;270964288;209741520;159390144;53529992;147670720;11719413
mujer;2013;549291392;429789792;279498688;156180992;252578320;26920360;278327104;220048272;120108544;102650992;104907600;15200948
hombre;2014;555552640;436044800;283853792;158064432;258039872;25813902;274067872;212727536;161775632;54226428;150496544;11279083
mujer;2014;555552640;436044800;283853792;158064432;258039872;25813902;281484768;223317264;122078144;103838008;107543320;14534819
hombre;2015;561824320;442350080;290080032;158029568;264206304;25873722;277175808;215875264;164659712;54400732;153571840;11087864
mujer;2015;561824320;442350080;290080032;158029568;264206304;25873722;284648480;226474816;125420312;103628832;110634456;14785857
hombre;2016;568121920;448682560;292859296;161357056;265873696;26985614;280296416;219000800;166246624;55824752;154474976;11771649
mujer;2016;568121920;448682560;292859296;161357056;265873696;26985614;287825504;229681760;126612680;105532304;111398712;15213965
hombre;2017;574413824;454558496;296359040;163900128;268590976;27768084;283409600;221856080;168273904;56773468;156209408;12064490
mujer;2017;574413824;454558496;296359040;163900128;268590976;27768084;291004256;232702432;128085152;107126656;112381560;15703594
hombre;2018;580686592;460967520;298357120;167976192;269485856;28871266;286513088;225031328;170221072;57849784;157577664;12643412
mujer;2018;580686592;460967520;298357120;167976192;269485856;28871266;294173472;235936192;128136040;110126408;111908184;16227854
hombre;2019;586931200;466902144;298826880;173438192;267447360;31379508;289606528;228105152;170679824;60287844;156760320;13919503
mujer;2019;586931200;466902144;298826880;173438192;267447360;31379508;297324704;238796976;128147048;113150352;110687040;17460006
