year;dpto;nom_dpto;nom_ciu;sexo;sineducacion;educprimaria;educsecundaria;educmedia;eductecnica;educuniversitaria;educpostgrado
2010;5;Antioquia;Medellin;hombre;0.16408563;0.31399453;0.088761099;0.28011844;0.077146433;0.054714188;0.021179685
2010;5;Antioquia;Medellin;mujer;0.16521698;0.29701981;0.083416514;0.28081182;0.10119303;0.055040639;0.017301202
2010;8;Atlantico;Barranquilla;hombre;0.12460022;0.27885127;0.098414183;0.34888059;0.058901917;0.077025585;0.013326226
2010;8;Atlantico;Barranquilla;mujer;0.13320978;0.28037763;0.10031275;0.32723272;0.068921581;0.078883357;0.011062203
2010;11;Bogota;Bogota;hombre;0.086825907;0.2856096;0.094739154;0.32905921;0.075542204;0.085653573;0.042570341
2010;11;Bogota;Bogota;mujer;0.097641148;0.27661768;0.091325082;0.30910027;0.09822119;0.087715909;0.039378706
2010;13;Bolivar;Cartagena;hombre;0.15066606;0.30332261;0.10174552;0.29145613;0.076787628;0.066069514;0.009952534
2010;13;Bolivar;Cartagena;mujer;0.14417909;0.29645506;0.098591551;0.28318703;0.095869906;0.071919441;0.009797918
2010;15;Boyaca;Tunja;hombre;0.14905222;0.31598711;0.086194567;0.2812947;0.043007869;0.090307586;0.034155939
2010;15;Boyaca;Tunja;mujer;0.16381776;0.25640085;0.081725478;0.29381555;0.066025972;0.10270707;0.035507299
2010;17;Caldas;Manizales;hombre;0.17396045;0.30820745;0.080517054;0.30314592;0.052561905;0.061594766;0.020012459
2010;17;Caldas;Manizales;mujer;0.16839601;0.29964972;0.083008394;0.28894323;0.073359326;0.065362498;0.021280814
2010;18;Caqueta;Florencia;hombre;0.26464561;0.35106745;0.085311696;0.22280103;0.017933391;0.038514089;0.019726729
2010;18;Caqueta;Florencia;mujer;0.25233307;0.31548867;0.089488536;0.25652897;0.025247775;0.044418722;0.016494248
2010;19;Cauca;Popayan;hombre;0.2094108;0.30276424;0.076411277;0.26387268;0.063035876;0.057068385;0.027436724
2010;19;Cauca;Popayan;mujer;0.22023334;0.28680086;0.075374588;0.25906441;0.076918676;0.057417363;0.024190782
2010;20;Cesar;Valledupar;hombre;0.1878916;0.30769232;0.093908057;0.27779874;0.056314636;0.059032235;0.017362421
2010;20;Cesar;Valledupar;mujer;0.17058824;0.28446293;0.095332481;0.28241688;0.084974423;0.066432223;0.015792839
2010;23;Cordoba;Monteria;hombre;0.17067094;0.30601531;0.094500802;0.31989679;0.017707776;0.065581061;0.025627336
2010;23;Cordoba;Monteria;mujer;0.17761138;0.28858104;0.084837139;0.34331712;0.01609884;0.071433917;0.018120553
2010;25;Cundinamarca;Cundinamarca;hombre;0.24534231;0.37283951;0.092031427;0.206734;0.042424243;0.031425364;0.009203143
2010;25;Cundinamarca;Cundinamarca;mujer;0.2201163;0.36441955;0.094335556;0.21408571;0.060736593;0.0342451;0.012061168
2010;27;Choco;Quibdo;hombre;0.2167975;0.28024518;0.092805676;0.29304227;0.019679535;0.071190454;0.02623938
2010;27;Choco;Quibdo;mujer;0.22703335;0.23698069;0.088021398;0.29516008;0.035860568;0.085095711;0.0318482
2010;41;Huila;Neiva;hombre;0.1908066;0.30584246;0.087045655;0.25766775;0.075376488;0.055428527;0.027832532
2010;41;Huila;Neiva;mujer;0.17275234;0.29641584;0.094479188;0.2547912;0.096160315;0.059511803;0.025889315
2010;44;La Guajira;Riohacha;hombre;0.20828412;0.3002362;0.086890504;0.24666779;0.074742705;0.06090771;0.022270963
2010;44;La Guajira;Riohacha;mujer;0.20530331;0.26218671;0.087395571;0.23835815;0.098074831;0.085070834;0.023610607
2010;47;Magdalena;Santa Marta;hombre;0.16850078;0.29662713;0.10011434;0.32128054;0.037158784;0.059096757;0.017221667
2010;47;Magdalena;Santa Marta;mujer;0.15307882;0.28029558;0.10751232;0.33583742;0.042487685;0.066317737;0.014470443
2010;50;Meta;Villavicencio;hombre;0.20041034;0.35240048;0.090356998;0.27082479;0.02790316;0.041854739;0.016249487
2010;50;Meta;Villavicencio;mujer;0.18558416;0.31781375;0.093406595;0.31051186;0.032244071;0.042654715;0.017784847
2010;52;Nariño;Pasto;hombre;0.2159601;0.30756441;0.077306733;0.26965919;0.044970907;0.059850372;0.024688279
2010;52;Nariño;Pasto;mujer;0.24188052;0.28026983;0.07128451;0.26274428;0.059461717;0.061687183;0.022671953
2010;54;Norte de Santander;Cucuta;hombre;0.29231754;0.33141071;0.076824479;0.22823039;0.025314428;0.031162381;0.014740046
2010;54;Norte de Santander;Cucuta;mujer;0.273682;0.3037177;0.080025204;0.25092769;0.036756985;0.039067421;0.015823007
2010;63;Quindio;Armenia;hombre;0.1956771;0.32059991;0.086898983;0.27640054;0.04984561;0.052315835;0.018262019
2010;63;Quindio;Armenia;mujer;0.20037876;0.2965256;0.081579141;0.28487143;0.06424357;0.05601282;0.016388666
2010;66;Risaralda;Pereira;hombre;0.20771563;0.3328841;0.085411049;0.26903638;0.043884769;0.045906335;0.015161725
2010;66;Risaralda;Pereira;mujer;0.20490506;0.33321348;0.086809553;0.2596375;0.055092059;0.047324512;0.013017837
2010;68;Santander;Bucaramanga;hombre;0.18016516;0.32363001;0.077320881;0.28242555;0.061473016;0.052297939;0.022687463
2010;68;Santander;Bucaramanga;mujer;0.17826875;0.29699385;0.084462151;0.28185439;0.073524088;0.060557768;0.024339007
2010;70;Sucre;Sincelejo;hombre;0.22126414;0.31832924;0.09192311;0.25741634;0.039000079;0.056799304;0.015267779
2010;70;Sucre;Sincelejo;mujer;0.215056;0.29291031;0.090029918;0.25756627;0.072079591;0.059486538;0.012871356
2010;73;Tolima;Ibague;hombre;0.18171255;0.31399715;0.083661065;0.27770826;0.055774044;0.057472292;0.029674651
2010;73;Tolima;Ibague;mujer;0.16366674;0.30508089;0.089238249;0.28343585;0.06440343;0.065694541;0.028480291
2010;76;Valle del Cauca;Cali;hombre;0.16094787;0.31751251;0.094856516;0.31853983;0.041777961;0.046366688;0.019998631
2010;76;Valle del Cauca;Cali;mujer;0.1771543;0.30959061;0.092413396;0.31342685;0.041454338;0.049527626;0.016432866
2011;5;Antioquia;Medellin;hombre;0.23080225;0.20601019;0.12986316;0.22441642;0.085001342;0.05881406;0.065092571
2011;5;Antioquia;Medellin;mujer;0.20376277;0.19937134;0.12758286;0.23704526;0.10585679;0.058429252;0.067951739
2011;8;Atlantico;Barranquilla;hombre;0.210279;0.1759765;0.16276065;0.25891337;0.067195304;0.065785609;0.059089575
2011;8;Atlantico;Barranquilla;mujer;0.19837537;0.18041898;0.16182129;0.24786234;0.070970498;0.074818298;0.065733217
2011;11;Bogota;Bogota;hombre;0.17868975;0.19173822;0.14001758;0.25299168;0.08545737;0.070718683;0.080386721
2011;11;Bogota;Bogota;mujer;0.17331223;0.18274792;0.14250928;0.24368417;0.10257503;0.074572347;0.080599017
2011;13;Bolivar;Cartagena;hombre;0.23723644;0.19639306;0.13499536;0.22477125;0.081885688;0.060800955;0.063917249
2011;13;Bolivar;Cartagena;mujer;0.20786415;0.19630276;0.1415066;0.23189017;0.092551336;0.06581562;0.064069368
2011;15;Boyaca;Tunja;hombre;0.23416415;0.2062232;0.11224004;0.23019527;0.055008732;0.077790126;0.084378473
2011;15;Boyaca;Tunja;mujer;0.22168495;0.17836954;0.11795954;0.23414834;0.073077708;0.081863381;0.092896543
2011;17;Caldas;Manizales;hombre;0.23041616;0.19805692;0.13226745;0.23630661;0.068313956;0.063035496;0.071603425
2011;17;Caldas;Manizales;mujer;0.2058612;0.19271277;0.1346896;0.24694185;0.080591351;0.060966834;0.078236409
2011;18;Caqueta;Florencia;hombre;0.32827684;0.20494588;0.11511417;0.17697717;0.051512998;0.050564904;0.072608046
2011;18;Caqueta;Florencia;mujer;0.29097569;0.20045605;0.12748756;0.20474018;0.052238807;0.052860696;0.071241014
2011;19;Cauca;Popayan;hombre;0.24581264;0.1958954;0.11446541;0.22780536;0.082952663;0.05812645;0.074942075
2011;19;Cauca;Popayan;mujer;0.228801;0.18583314;0.11898792;0.22902896;0.095737405;0.061374515;0.080237061
2011;20;Cesar;Valledupar;hombre;0.28328651;0.19782303;0.12865168;0.21797752;0.061095506;0.049508426;0.061657302
2011;20;Cesar;Valledupar;mujer;0.24321535;0.18845244;0.12767895;0.22991925;0.08202295;0.063748404;0.064962663
2011;23;Cordoba;Monteria;hombre;0.27272728;0.19593014;0.14478403;0.22579136;0.033993449;0.059800405;0.066973336
2011;23;Cordoba;Monteria;mujer;0.24201658;0.1957467;0.14709879;0.24507406;0.035670608;0.066924855;0.067468405
2011;25;Cundinamarca;Cundinamarca;hombre;0.27872533;0.23361759;0.12253142;0.17235188;0.06710054;0.044658888;0.081014365
2011;25;Cundinamarca;Cundinamarca;mujer;0.24845406;0.22438163;0.12742932;0.18286219;0.081051238;0.048365723;0.087455831
2011;27;Choco;Quibdo;hombre;0.31855714;0.18183398;0.112299;0.21781833;0.047023032;0.067275099;0.055193394
2011;27;Choco;Quibdo;mujer;0.28369457;0.16161907;0.11353524;0.24135208;0.058633558;0.076001145;0.065164343
2011;41;Huila;Neiva;hombre;0.26424673;0.20953318;0.11905123;0.20612307;0.07600788;0.05592604;0.069111854
2011;41;Huila;Neiva;mujer;0.22954381;0.20571391;0.12678559;0.21545652;0.094332173;0.05687578;0.071292214
2011;44;La Guajira;Riohacha;hombre;0.30579424;0.18484248;0.11786737;0.18719248;0.07703606;0.060292281;0.066975102
2011;44;La Guajira;Riohacha;mujer;0.27712834;0.16569251;0.11289708;0.19231258;0.094155021;0.078970775;0.078843713
