year;dpto;nom_dpto;nom_ciu;sexo;etaria;personas;edad
2010;5;Antioquia;Medellin;hombre;10-14 años;-2356632.591;-9.0113096
2010;5;Antioquia;Medellin;hombre;15-19 años;-3202110.523;-12.244255
2010;5;Antioquia;Medellin;hombre;20-24 años;-2893126.91;-11.062761
2010;5;Antioquia;Medellin;hombre;25-29 años;-2689789.567;-10.285238
2010;5;Antioquia;Medellin;hombre;30-34 años;-2303999.85;-8.8100529
2010;5;Antioquia;Medellin;hombre;35-39 años;-2200820.971;-8.4155169
2010;5;Antioquia;Medellin;hombre;40-44 años;-2258671.046;-8.6367235
2010;5;Antioquia;Medellin;hombre;45-49 años;-2053016.866;-7.8503418
2010;5;Antioquia;Medellin;hombre;50-54 años;-1757504.556;-6.7203598
2010;5;Antioquia;Medellin;hombre;55-59 años;-1342323.887;-5.1327887
2010;5;Antioquia;Medellin;hombre;60-64 años;-985783.7924;-3.7694478
2010;5;Antioquia;Medellin;hombre;65-69 años;-726148.3302;-2.7766516
2010;5;Antioquia;Medellin;hombre;70-74 años;-558487.0394;-2.1355472
2010;5;Antioquia;Medellin;hombre;75-79 años;-440001.6273;-1.6824816
2010;5;Antioquia;Medellin;hombre;80-84 años;-240409.6968;-0.91928047
2010;5;Antioquia;Medellin;hombre;85-mas años;-143115.4236;-0.54724586
2010;5;Antioquia;Medellin;mujer;10-14 años;2126295.005;7.4521518
2010;5;Antioquia;Medellin;mujer;15-19 años;3299407.37;11.563628
2010;5;Antioquia;Medellin;mujer;20-24 años;2976881.705;10.433253
2010;5;Antioquia;Medellin;mujer;25-29 años;2893654.082;10.141561
2010;5;Antioquia;Medellin;mujer;30-34 años;2506209.986;8.7836618
2010;5;Antioquia;Medellin;mujer;35-39 años;2402803.722;8.4212484
2010;5;Antioquia;Medellin;mujer;40-44 años;2481526.341;8.6971521
2010;5;Antioquia;Medellin;mujer;45-49 años;2319999.952;8.1310406
2010;5;Antioquia;Medellin;mujer;50-54 años;2008729.807;7.0401139
2010;5;Antioquia;Medellin;mujer;55-59 años;1494940.801;5.2394071
2010;5;Antioquia;Medellin;mujer;60-64 años;1276054.685;4.4722643
2010;5;Antioquia;Medellin;mujer;65-69 años;876750.7416;3.0728002
2010;5;Antioquia;Medellin;mujer;70-74 años;796409.0782;2.7912219
2010;5;Antioquia;Medellin;mujer;75-79 años;505440.0282;1.7714455
2010;5;Antioquia;Medellin;mujer;80-84 años;338345.0372;1.1858178
2010;5;Antioquia;Medellin;mujer;85-mas años;229184.2913;0.80323571
2010;8;Atlantico;Barranquilla;hombre;10-14 años;-969949.0995;-8.9131346
2010;8;Atlantico;Barranquilla;hombre;15-19 años;-1432902.876;-13.167347
2010;8;Atlantico;Barranquilla;hombre;20-24 años;-1242481.706;-11.417514
2010;8;Atlantico;Barranquilla;hombre;25-29 años;-1158925.191;-10.64969
2010;8;Atlantico;Barranquilla;hombre;30-34 años;-955620.3875;-8.7814646
2010;8;Atlantico;Barranquilla;hombre;35-39 años;-939506.1685;-8.6333866
2010;8;Atlantico;Barranquilla;hombre;40-44 años;-912013.4751;-8.3807478
2010;8;Atlantico;Barranquilla;hombre;45-49 años;-864032.3754;-7.9398365
2010;8;Atlantico;Barranquilla;hombre;50-54 años;-705031.6951;-6.4787345
2010;8;Atlantico;Barranquilla;hombre;55-59 años;-519806.9394;-4.7766523
2010;8;Atlantico;Barranquilla;hombre;60-64 años;-382721.6272;-3.5169365
2010;8;Atlantico;Barranquilla;hombre;65-69 años;-289160.2292;-2.6571746
2010;8;Atlantico;Barranquilla;hombre;70-74 años;-203987.2418;-1.8744961
2010;8;Atlantico;Barranquilla;hombre;75-79 años;-141258.2302;-1.2980616
2010;8;Atlantico;Barranquilla;hombre;80-84 años;-81846.07581;-0.75210661
2010;8;Atlantico;Barranquilla;hombre;85-mas años;-83000.81979;-0.76271784
2010;8;Atlantico;Barranquilla;mujer;10-14 años;874774.3884;7.6263227
2010;8;Atlantico;Barranquilla;mujer;15-19 años;1418568.504;12.367145
2010;8;Atlantico;Barranquilla;mujer;20-24 años;1254537.235;10.937113
2010;8;Atlantico;Barranquilla;mujer;25-29 años;1130867.912;9.8589582
2010;8;Atlantico;Barranquilla;mujer;30-34 años;1091836.554;9.5186806
2010;8;Atlantico;Barranquilla;mujer;35-39 años;1023164.787;8.9199972
2010;8;Atlantico;Barranquilla;mujer;40-44 años;1006447.546;8.7742558
2010;8;Atlantico;Barranquilla;mujer;45-49 años;951837.2594;8.2981606
2010;8;Atlantico;Barranquilla;mujer;50-54 años;726029.3528;6.3295569
2010;8;Atlantico;Barranquilla;mujer;55-59 años;558397.8195;4.8681374
2010;8;Atlantico;Barranquilla;mujer;60-64 años;407534.0782;3.5529006
2010;8;Atlantico;Barranquilla;mujer;65-69 años;302803.3454;2.6398532
2010;8;Atlantico;Barranquilla;mujer;70-74 años;299491.457;2.61098
2010;8;Atlantico;Barranquilla;mujer;75-79 años;183670.3889;1.6012468
2010;8;Atlantico;Barranquilla;mujer;80-84 años;129452.7655;1.1285751
2010;8;Atlantico;Barranquilla;mujer;85-mas años;111047.9509;0.96812105
2010;11;Bogota;Bogota;hombre;10-14 años;-2409898.305;-7.1604171
2010;11;Bogota;Bogota;hombre;15-19 años;-3899621.732;-11.586762
2010;11;Bogota;Bogota;hombre;20-24 años;-3741456.389;-11.116813
2010;11;Bogota;Bogota;hombre;25-29 años;-4050738.256;-12.035768
2010;11;Bogota;Bogota;hombre;30-34 años;-3484645.133;-10.353762
2010;11;Bogota;Bogota;hombre;35-39 años;-2977678.944;-8.8474369
2010;11;Bogota;Bogota;hombre;40-44 años;-2858420.765;-8.4930906
2010;11;Bogota;Bogota;hombre;45-49 años;-2660882.743;-7.9061556
2010;11;Bogota;Bogota;hombre;50-54 años;-2201597.146;-6.541502
2010;11;Bogota;Bogota;hombre;55-59 años;-1714313.669;-5.0936594
2010;11;Bogota;Bogota;hombre;60-64 años;-1267404.081;-3.7657781
2010;11;Bogota;Bogota;hombre;65-69 años;-973953.6909;-2.8938627
2010;11;Bogota;Bogota;hombre;70-74 años;-630425.3754;-1.8731532
2010;11;Bogota;Bogota;hombre;75-79 años;-370482.2877;-1.1007966
2010;11;Bogota;Bogota;hombre;80-84 años;-278754.5073;-0.82825011
2010;11;Bogota;Bogota;hombre;85-mas años;-135561.9526;-0.40278885
2010;11;Bogota;Bogota;mujer;10-14 años;2144343.529;5.7563486
2010;11;Bogota;Bogota;mujer;15-19 años;3739544.304;10.03856
2010;11;Bogota;Bogota;mujer;20-24 años;3911899.481;10.501236
2010;11;Bogota;Bogota;mujer;25-29 años;4302701.897;11.55032
2010;11;Bogota;Bogota;mujer;30-34 años;3755878.522;10.082408
2010;11;Bogota;Bogota;mujer;35-39 años;3252198.717;8.7303133
2010;11;Bogota;Bogota;mujer;40-44 años;3307271.734;8.8781528
2010;11;Bogota;Bogota;mujer;45-49 años;3185104.43;8.5502024
2010;11;Bogota;Bogota;mujer;50-54 años;2687245.79;7.2137341
2010;11;Bogota;Bogota;mujer;55-59 años;2067069.561;5.548912
2010;11;Bogota;Bogota;mujer;60-64 años;1588137.272;4.2632499
2010;11;Bogota;Bogota;mujer;65-69 años;1191670.806;3.1989617
2010;11;Bogota;Bogota;mujer;70-74 años;857531.3718;2.3019865
2010;11;Bogota;Bogota;mujer;75-79 años;567050.0884;1.5222086
2010;11;Bogota;Bogota;mujer;80-84 años;408979.312;1.097878
2010;11;Bogota;Bogota;mujer;85-mas años;285173.4376;0.76552927
2010;13;Bolivar;Cartagena;hombre;10-14 años;-966359.6969;-10.594707
2010;13;Bolivar;Cartagena;hombre;15-19 años;-1359731.474;-14.907449
2010;13;Bolivar;Cartagena;hombre;20-24 años;-1013705.381;-11.113783
2010;13;Bolivar;Cartagena;hombre;25-29 años;-820009.088;-8.9901896
2010;13;Bolivar;Cartagena;hombre;30-34 años;-769678.7782;-8.4383917
2010;13;Bolivar;Cartagena;hombre;35-39 años;-748860.2826;-8.2101479
2010;13;Bolivar;Cartagena;hombre;40-44 años;-749505.8485;-8.2172251
2010;13;Bolivar;Cartagena;hombre;45-49 años;-729665.2132;-7.999702
2010;13;Bolivar;Cartagena;hombre;50-54 años;-464898.3051;-5.0969238
2010;13;Bolivar;Cartagena;hombre;55-59 años;-417465.1178;-4.5768886
2010;13;Bolivar;Cartagena;hombre;60-64 años;-376067.7501;-4.1230278
2010;13;Bolivar;Cartagena;hombre;65-69 años;-229244.8773;-2.5133317
2010;13;Bolivar;Cartagena;hombre;70-74 años;-219234.0192;-2.4035773
2010;13;Bolivar;Cartagena;hombre;75-79 años;-115730.7841;-1.2688172
