year;dpto;nom_dpto;nom_ciu;sexo;horas
2010;5;Antioquia;Medellin;hombre;50.222534
2010;5;Antioquia;Medellin;mujer;40.826458
2010;8;Atlantico;Barranquilla;hombre;51.555813
2010;8;Atlantico;Barranquilla;mujer;41.448689
2010;11;Bogota;Bogota;hombre;51.704445
2010;11;Bogota;Bogota;mujer;43.92868
2010;13;Bolivar;Cartagena;hombre;49.479542
2010;13;Bolivar;Cartagena;mujer;41.828602
2010;15;Boyaca;Tunja;hombre;44.737885
2010;15;Boyaca;Tunja;mujer;36.759983
2010;17;Caldas;Manizales;hombre;50.769623
2010;17;Caldas;Manizales;mujer;41.693432
2010;18;Caqueta;Florencia;hombre;50.233696
2010;18;Caqueta;Florencia;mujer;43.174633
2010;19;Cauca;Popayan;hombre;41.273258
2010;19;Cauca;Popayan;mujer;38.777264
2010;20;Cesar;Valledupar;hombre;51.904263
2010;20;Cesar;Valledupar;mujer;41.703384
2010;23;Cordoba;Monteria;hombre;45.034157
2010;23;Cordoba;Monteria;mujer;37.528885
2010;25;Cundinamarca;Cundinamarca;hombre;48.128513
2010;25;Cundinamarca;Cundinamarca;mujer;38.557186
2010;27;Choco;Quibdo;hombre;48.042728
2010;27;Choco;Quibdo;mujer;43.73354
2010;41;Huila;Neiva;hombre;45.883408
2010;41;Huila;Neiva;mujer;38.837494
2010;44;La Guajira;Riohacha;hombre;47.457767
2010;44;La Guajira;Riohacha;mujer;36.953804
2010;47;Magdalena;Santa Marta;hombre;53.4972
2010;47;Magdalena;Santa Marta;mujer;40.57032
2010;50;Meta;Villavicencio;hombre;52.792984
2010;50;Meta;Villavicencio;mujer;43.409176
2010;52;Nariño;Pasto;hombre;44.156128
2010;52;Nariño;Pasto;mujer;38.923481
2010;54;Norte de Santander;Cucuta;hombre;49.230354
2010;54;Norte de Santander;Cucuta;mujer;42.290386
2010;63;Quindio;Armenia;hombre;50.723022
2010;63;Quindio;Armenia;mujer;42.745739
2010;66;Risaralda;Pereira;hombre;50.945099
2010;66;Risaralda;Pereira;mujer;40.751675
2010;68;Santander;Bucaramanga;hombre;49.01807
2010;68;Santander;Bucaramanga;mujer;40.743645
2010;70;Sucre;Sincelejo;hombre;47.798756
2010;70;Sucre;Sincelejo;mujer;38.336796
2010;73;Tolima;Ibague;hombre;47.788322
2010;73;Tolima;Ibague;mujer;38.529678
2010;76;Valle del Cauca;Cali;hombre;50.554924
2010;76;Valle del Cauca;Cali;mujer;39.437904
2011;5;Antioquia;Medellin;hombre;49.589222
2011;5;Antioquia;Medellin;mujer;40.798668
2011;8;Atlantico;Barranquilla;hombre;51.073364
2011;8;Atlantico;Barranquilla;mujer;40.305832
2011;11;Bogota;Bogota;hombre;50.895523
2011;11;Bogota;Bogota;mujer;43.058468
2011;13;Bolivar;Cartagena;hombre;47.972958
2011;13;Bolivar;Cartagena;mujer;39.263813
2011;15;Boyaca;Tunja;hombre;44.204967
2011;15;Boyaca;Tunja;mujer;35.158993
2011;17;Caldas;Manizales;hombre;51.985596
2011;17;Caldas;Manizales;mujer;43.37923
2011;18;Caqueta;Florencia;hombre;50.507671
2011;18;Caqueta;Florencia;mujer;42.543228
2011;19;Cauca;Popayan;hombre;41.593658
2011;19;Cauca;Popayan;mujer;37.448406
2011;20;Cesar;Valledupar;hombre;52.436195
2011;20;Cesar;Valledupar;mujer;40.312744
2011;23;Cordoba;Monteria;hombre;44.922009
2011;23;Cordoba;Monteria;mujer;36.752949
2011;25;Cundinamarca;Cundinamarca;hombre;48.240936
2011;25;Cundinamarca;Cundinamarca;mujer;38.443081
2011;27;Choco;Quibdo;hombre;47.409264
2011;27;Choco;Quibdo;mujer;43.173649
2011;41;Huila;Neiva;hombre;45.805477
2011;41;Huila;Neiva;mujer;39.102661
2011;44;La Guajira;Riohacha;hombre;47.261105
2011;44;La Guajira;Riohacha;mujer;36.948959
2011;47;Magdalena;Santa Marta;hombre;53.884689
2011;47;Magdalena;Santa Marta;mujer;38.729523
2011;50;Meta;Villavicencio;hombre;52.009895
2011;50;Meta;Villavicencio;mujer;43.968216
2011;52;Nariño;Pasto;hombre;43.143082
2011;52;Nariño;Pasto;mujer;35.310959
2011;54;Norte de Santander;Cucuta;hombre;49.97876
2011;54;Norte de Santander;Cucuta;mujer;40.876472
2011;63;Quindio;Armenia;hombre;52.046352
2011;63;Quindio;Armenia;mujer;42.804688
