year;dpto;nom_dpto;nom_ciu;sexo;ingresototal;ingnotransitorio
2010;5;Antioquia;Medellin;hombre;970657.31;896837.63
2010;5;Antioquia;Medellin;mujer;747826.44;669724.13
2010;8;Atlantico;Barranquilla;hombre;694055.13;690883.13
2010;8;Atlantico;Barranquilla;mujer;770819.69;653175.56
2010;11;Bogota;Bogota;hombre;1324340.1;1225126.8
2010;11;Bogota;Bogota;mujer;1000284.8;912042
2010;13;Bolivar;Cartagena;hombre;640735;619564.63
2010;13;Bolivar;Cartagena;mujer;511159.5;480624.84
2010;15;Boyaca;Tunja;hombre;647393.25;611394.38
2010;15;Boyaca;Tunja;mujer;511479.19;474043.06
2010;17;Caldas;Manizales;hombre;726520.69;686420.75
2010;17;Caldas;Manizales;mujer;638198.94;573030.75
2010;18;Caqueta;Florencia;hombre;798967.56;766442.19
2010;18;Caqueta;Florencia;mujer;617369.69;576067.19
2010;19;Cauca;Popayan;hombre;500274.44;478845.25
2010;19;Cauca;Popayan;mujer;466107.19;437702.28
2010;20;Cesar;Valledupar;hombre;682634.5;647965.5
2010;20;Cesar;Valledupar;mujer;511946.53;467511.56
2010;23;Cordoba;Monteria;hombre;542616.75;507288.94
2010;23;Cordoba;Monteria;mujer;378755.5;331275.25
2010;25;Cundinamarca;Cundinamarca;hombre;760068.81;701055.88
2010;25;Cundinamarca;Cundinamarca;mujer;636853.88;576677.5
2010;27;Choco;Quibdo;hombre;637061.81;629869
2010;27;Choco;Quibdo;mujer;564304.44;541302.19
2010;41;Huila;Neiva;hombre;662686.94;623945.13
2010;41;Huila;Neiva;mujer;558086;507322.19
2010;44;La Guajira;Riohacha;hombre;741131.88;700007.44
2010;44;La Guajira;Riohacha;mujer;507275.78;468577.28
2010;47;Magdalena;Santa Marta;hombre;660188.06;633391.38
2010;47;Magdalena;Santa Marta;mujer;473978.88;440269.03
2010;50;Meta;Villavicencio;hombre;877791.63;817460.5
2010;50;Meta;Villavicencio;mujer;586262.25;533189.06
2010;52;Nariño;Pasto;hombre;514775.16;500715.53
2010;52;Nariño;Pasto;mujer;440973.97;410096.66
2010;54;Norte de Santander;Cucuta;hombre;709527.19;683646.75
2010;54;Norte de Santander;Cucuta;mujer;567705.38;519071.63
2010;63;Quindio;Armenia;hombre;760387.44;706662.56
2010;63;Quindio;Armenia;mujer;578992.63;531941.44
2010;66;Risaralda;Pereira;hombre;691547.06;658349.06
2010;66;Risaralda;Pereira;mujer;552736.19;507186.09
2010;68;Santander;Bucaramanga;hombre;944628.75;892947.75
2010;68;Santander;Bucaramanga;mujer;701099.44;641524.69
2010;70;Sucre;Sincelejo;hombre;574212.56;545155.94
2010;70;Sucre;Sincelejo;mujer;441664.72;396509.13
2010;73;Tolima;Ibague;hombre;671262.88;612734.38
2010;73;Tolima;Ibague;mujer;519336.94;473164.19
2010;76;Valle del Cauca;Cali;hombre;809201.56;760281.69
2010;76;Valle del Cauca;Cali;mujer;589142.13;539420.38
2011;5;Antioquia;Medellin;hombre;987186;914672.81
2011;5;Antioquia;Medellin;mujer;788144.94;706237.13
2011;8;Atlantico;Barranquilla;hombre;678142.69;661481.38
2011;8;Atlantico;Barranquilla;mujer;537267;504918.13
2011;11;Bogota;Bogota;hombre;1344332.9;1254874
2011;11;Bogota;Bogota;mujer;1022968;934806.19
2011;13;Bolivar;Cartagena;hombre;656155.63;629382
2011;13;Bolivar;Cartagena;mujer;526061.13;496573.84
2011;15;Boyaca;Tunja;hombre;769519.38;733433.69
2011;15;Boyaca;Tunja;mujer;633080.38;594568.25
2011;17;Caldas;Manizales;hombre;809845.56;765468
2011;17;Caldas;Manizales;mujer;708938.56;648640.13
2011;18;Caqueta;Florencia;hombre;891793.38;859076.5
2011;18;Caqueta;Florencia;mujer;724130.25;676811.31
2011;19;Cauca;Popayan;hombre;545350.63;520451.19
2011;19;Cauca;Popayan;mujer;500618.84;467920.25
2011;20;Cesar;Valledupar;hombre;758381.94;715766.81
2011;20;Cesar;Valledupar;mujer;532580.44;486013.25
2011;23;Cordoba;Monteria;hombre;538528.63;507820.03
2011;23;Cordoba;Monteria;mujer;418554.56;370664.66
2011;25;Cundinamarca;Cundinamarca;hombre;798859.5;728224.75
2011;25;Cundinamarca;Cundinamarca;mujer;577771;518319.69
2011;27;Choco;Quibdo;hombre;594590.06;581450.44
2011;27;Choco;Quibdo;mujer;498760.38;475478.69
2011;41;Huila;Neiva;hombre;747863.19;702511.06
2011;41;Huila;Neiva;mujer;590632.69;540497.75
2011;44;La Guajira;Riohacha;hombre;789455.75;749742.13
2011;44;La Guajira;Riohacha;mujer;602287.13;561145.25
2011;47;Magdalena;Santa Marta;hombre;660750.63;637315.13
2011;47;Magdalena;Santa Marta;mujer;476149.22;444546.34
2011;50;Meta;Villavicencio;hombre;890251;832426.13
2011;50;Meta;Villavicencio;mujer;652560.19;600524.75
2011;52;Nariño;Pasto;hombre;547942.88;531918.5
2011;52;Nariño;Pasto;mujer;429768.59;401125.38
2011;54;Norte de Santander;Cucuta;hombre;784208.44;750997.81
2011;54;Norte de Santander;Cucuta;mujer;607087.5;559214.19
2011;63;Quindio;Armenia;hombre;726061.25;675800.63
2011;63;Quindio;Armenia;mujer;583339.06;540888.88
2011;66;Risaralda;Pereira;hombre;787199.75;746545.06
2011;66;Risaralda;Pereira;mujer;592703.5;547472.13
2011;68;Santander;Bucaramanga;hombre;971848.13;917759.38
2011;68;Santander;Bucaramanga;mujer;749386.5;690910.31
2011;70;Sucre;Sincelejo;hombre;673037.56;640244.5
2011;70;Sucre;Sincelejo;mujer;497176.56;448717.88
2011;73;Tolima;Ibague;hombre;678480.81;628880.94
2011;73;Tolima;Ibague;mujer;541029.5;491189.38
2011;76;Valle del Cauca;Cali;hombre;820611.69;769991.25
2011;76;Valle del Cauca;Cali;mujer;618410;573497.19
2012;5;Antioquia;Medellin;hombre;979416.81;889619.25
2012;5;Antioquia;Medellin;mujer;795395.06;703881.38
2012;8;Atlantico;Barranquilla;hombre;736913.5;717216.94
