year;Años;Mes;Código;Ciudad;Género;sexo;PT;T_PET;T_TGP;T_TO;T_TD
2010-1;2010;1;11001;Bogotá;0;mujer;3788;81.5;60.5;51.8;14.4
2010-1;2010;1;11001;Bogotá;1;hombre;3521;79.1;74.6;66.1;11.3
2010-1;2010;1;5001;Medellín;0;mujer;1761;84.3;55.5;45.8;17.6
2010-1;2010;1;5001;Medellín;1;hombre;1586;81.8;72.3;63;12.9
2010-1;2010;1;76001;Cali;0;mujer;1195;81.7;59.6;50.7;15
2010-1;2010;1;76001;Cali;1;hombre;1095;79.4;75;65.8;12.3
2010-1;2010;1;8001;Barranquilla;0;mujer;876;78.9;47.6;41.6;12.7
2010-1;2010;1;8001;Barranquilla;1;hombre;832;76.9;70.6;65.5;7.1
2010-1;2010;1;68001;Bucaramanga;0;mujer;528;82.2;66.4;57.3;13.7
2010-1;2010;1;68013;Bucaramanga;1;hombre;482;79.6;77.5;69.9;9.8
2010-1;2010;1;17001;Manizales;0;mujer;213;84.2;50.4;40.7;19.3
2010-1;2010;1;17001;Manizales;1;hombre;189;81.5;67.3;56.4;16.1
2010-1;2010;1;52001;Pasto;0;mujer;176;81.3;61.4;50.4;17.8
2010-1;2010;1;52001;Pasto;1;hombre;160;79;74;61.5;16.9
2010-1;2010;1;66001;Pereira;0;mujer;312;82.4;54.5;40.8;25.2
2010-1;2010;1;66001;Pereira;1;hombre;281;79.7;74.4;60;19.3
2010-1;2010;1;54001;Cúcuta;0;mujer;306;78;52.8;43.6;17.5
2010-1;2010;1;54001;Cúcuta;1;hombre;367;75.7;74.6;63.2;15.2
2010-1;2010;1;73001;Ibagué;0;mujer;256;80.1;61.4;49.6;19.2
2010-1;2010;1;73001;Ibagué;1;hombre;239;77.7;72.3;60.9;15.7
2010-1;2010;1;23001;Montería;0;mujer;164;78.7;57.9;45.2;21.9
2010-1;2010;1;23001;Montería;1;hombre;147;75.7;72.5;62.9;13.3
2010-1;2010;1;13001;Cartagena;0;mujer;465;78.9;47.4;39.1;17.6
2010-1;2010;1;13001;Cartagena;1;hombre;430;76.6;66.5;61;8.4
2010-1;2010;1;50001;Villavicencio;0;mujer;209;78.6;60.1;51.3;14.6
2010-1;2010;1;50001;Villavicencio;1;hombre;195;76.3;73.9;66.3;10.4
2010-1;2010;1;15001;Tunja;0;mujer;85;79.5;56.2;46.7;16.8
2010-1;2010;1;15001;Tunja;1;hombre;77;76.8;67.2;58.5;12.9
2010-1;2010;1;18001;Florencia;0;mujer;69;75.6;47.6;39.6;16.9
2010-1;2010;1;18001;Florencia;1;hombre;66;73.8;68.3;59.4;13
2010-1;2010;1;19001;Popayán;0;mujer;123;82.9;52.4;40.8;22
2010-1;2010;1;19001;Popayán;1;hombre;112;80.5;66.4;54.3;18.2
2010-1;2010;1;20001;Valledupar;0;mujer;177;76;53.9;45.1;16.5
2010-1;2010;1;20001;Valledupar;1;hombre;162;73.1;73.1;65.6;10.3
2010-1;2010;1;27001;Quibdó;0;mujer;53;69.1;49.2;36.7;25.3
2010-1;2010;1;27001;Quibdó;1;hombre;51;67.1;63.4;55.3;12.7
2010-1;2010;1;41001;Neiva;0;mujer;162;80.5;57.8;48;16.9
2010-1;2010;1;41001;Neiva;1;hombre;147;77.7;72.5;62.3;14.1
2010-1;2010;1;44001;Riohacha;0;mujer;91;70.3;58.7;45.6;22.4
2010-1;2010;1;44001;Riohacha;1;hombre;84;66.7;74.1;66.9;9.8
2010-1;2010;1;47001;Santa Marta;0;mujer;218;75.4;50.1;44.4;11.5
2010-1;2010;1;47001;Santa Marta;1;hombre;204;73.1;69.2;65;6.1
2010-1;2010;1;63001;Armenia;0;mujer;146;81.7;49.3;39.4;19.9
2010-1;2010;1;63001;Armenia;1;hombre;135;79.5;70.3;59.1;15.9
2010-1;2010;1;70001;Sincelejo;0;mujer;122;78.1;42.5;36.1;15.1
2010-1;2010;1;70001;Sincelejo;1;hombre;115;76;70.2;64.4;8.3
2010-2;2010;2;11001;Bogotá;0;mujer;3793;81.5;60.6;53;12.6
2010-2;2010;2;11001;Bogotá;1;hombre;3525;79.1;74.1;66.7;10
2010-2;2010;2;5001;Medellín;0;mujer;1764;84.3;55.4;46;16.9
2010-2;2010;2;5001;Medellín;1;hombre;1588;81.8;71.6;62.2;13.2
