year;dpto;nom_dpto;nom_ciu;sexo;internet
2010;5;Antioquia;Medellin;hombre;0.27700788
2010;5;Antioquia;Medellin;mujer;0.29411605
2010;8;Atlantico;Barranquilla;hombre;0.2087426
2010;8;Atlantico;Barranquilla;mujer;0.22404855
2010;11;Bogota;Bogota;hombre;0.39828902
2010;11;Bogota;Bogota;mujer;0.40169713
2010;13;Bolivar;Cartagena;hombre;0.12233093
2010;13;Bolivar;Cartagena;mujer;0.14519642
2010;15;Boyaca;Tunja;hombre;0.087886803
2010;15;Boyaca;Tunja;mujer;0.086241476
2010;17;Caldas;Manizales;hombre;0.17794716
2010;17;Caldas;Manizales;mujer;0.19340539
2010;18;Caqueta;Florencia;hombre;0.054490563
2010;18;Caqueta;Florencia;mujer;0.061260544
2010;19;Cauca;Popayan;hombre;0.074850515
2010;19;Cauca;Popayan;mujer;0.076966852
2010;20;Cesar;Valledupar;hombre;0.086353488
2010;20;Cesar;Valledupar;mujer;0.10439474
2010;23;Cordoba;Monteria;hombre;0.080968
2010;23;Cordoba;Monteria;mujer;0.090324305
2010;25;Cundinamarca;Cundinamarca;hombre;0.13653098
2010;25;Cundinamarca;Cundinamarca;mujer;0.15642253
2010;27;Choco;Quibdo;hombre;0.033841718
2010;27;Choco;Quibdo;mujer;0.037818477
2010;41;Huila;Neiva;hombre;0.14673255
2010;41;Huila;Neiva;mujer;0.15611912
2010;44;La Guajira;Riohacha;hombre;0.065157175
2010;44;La Guajira;Riohacha;mujer;0.067321688
2010;47;Magdalena;Santa Marta;hombre;0.09730649
2010;47;Magdalena;Santa Marta;mujer;0.11750847
2010;50;Meta;Villavicencio;hombre;0.11724161
2010;50;Meta;Villavicencio;mujer;0.13682014
2010;52;Nariño;Pasto;hombre;0.053552676
2010;52;Nariño;Pasto;mujer;0.057814416
2010;54;Norte de Santander;Cucuta;hombre;0.12669641
2010;54;Norte de Santander;Cucuta;mujer;0.14026105
2010;63;Quindio;Armenia;hombre;0.16581753
2010;63;Quindio;Armenia;mujer;0.17913562
2010;66;Risaralda;Pereira;hombre;0.20332102
2010;66;Risaralda;Pereira;mujer;0.21593
2010;68;Santander;Bucaramanga;hombre;0.25552806
2010;68;Santander;Bucaramanga;mujer;0.26435578
2010;70;Sucre;Sincelejo;hombre;0.059358813
2010;70;Sucre;Sincelejo;mujer;0.070973359
2010;73;Tolima;Ibague;hombre;0.13824028
2010;73;Tolima;Ibague;mujer;0.15891291
2010;76;Valle del Cauca;Cali;hombre;0.22046643
2010;76;Valle del Cauca;Cali;mujer;0.2261903
2011;5;Antioquia;Medellin;hombre;0.31497183
2011;5;Antioquia;Medellin;mujer;0.33775026
2011;8;Atlantico;Barranquilla;hombre;0.23273975
2011;8;Atlantico;Barranquilla;mujer;0.25366837
2011;11;Bogota;Bogota;hombre;0.42628515
2011;11;Bogota;Bogota;mujer;0.44042623
2011;13;Bolivar;Cartagena;hombre;0.15841751
2011;13;Bolivar;Cartagena;mujer;0.1781818
2011;15;Boyaca;Tunja;hombre;0.11827305
2011;15;Boyaca;Tunja;mujer;0.11421991
2011;17;Caldas;Manizales;hombre;0.23530459
2011;17;Caldas;Manizales;mujer;0.24679045
2011;18;Caqueta;Florencia;hombre;0.073551469
2011;18;Caqueta;Florencia;mujer;0.07715746
2011;19;Cauca;Popayan;hombre;0.081200726
2011;19;Cauca;Popayan;mujer;0.088818222
2011;20;Cesar;Valledupar;hombre;0.088799104
2011;20;Cesar;Valledupar;mujer;0.10138769
2011;23;Cordoba;Monteria;hombre;0.091503836
2011;23;Cordoba;Monteria;mujer;0.10999184
2011;25;Cundinamarca;Cundinamarca;hombre;0.17390497
2011;25;Cundinamarca;Cundinamarca;mujer;0.18555695
2011;27;Choco;Quibdo;hombre;0.049383938
2011;27;Choco;Quibdo;mujer;0.0520848
2011;41;Huila;Neiva;hombre;0.15622194
2011;41;Huila;Neiva;mujer;0.1740915
2011;44;La Guajira;Riohacha;hombre;0.072771497
2011;44;La Guajira;Riohacha;mujer;0.087345243
2011;47;Magdalena;Santa Marta;hombre;0.11446549
2011;47;Magdalena;Santa Marta;mujer;0.13074316
2011;50;Meta;Villavicencio;hombre;0.15875512
2011;50;Meta;Villavicencio;mujer;0.17789888
2011;52;Nariño;Pasto;hombre;0.085554413
2011;52;Nariño;Pasto;mujer;0.085271381
2011;54;Norte de Santander;Cucuta;hombre;0.16455548
2011;54;Norte de Santander;Cucuta;mujer;0.17861879
2011;63;Quindio;Armenia;hombre;0.19640301
2011;63;Quindio;Armenia;mujer;0.20776559
2011;66;Risaralda;Pereira;hombre;0.26345924
2011;66;Risaralda;Pereira;mujer;0.28409973
2011;68;Santander;Bucaramanga;hombre;0.25437978
2011;68;Santander;Bucaramanga;mujer;0.27167392
2011;70;Sucre;Sincelejo;hombre;0.087184109
2011;70;Sucre;Sincelejo;mujer;0.10420883
2011;73;Tolima;Ibague;hombre;0.17009094
2011;73;Tolima;Ibague;mujer;0.18735953
2011;76;Valle del Cauca;Cali;hombre;0.26881281
2011;76;Valle del Cauca;Cali;mujer;0.28561717
2012;5;Antioquia;Medellin;hombre;0.3569473
2012;5;Antioquia;Medellin;mujer;0.38288364
2012;8;Atlantico;Barranquilla;hombre;0.27474636
2012;8;Atlantico;Barranquilla;mujer;0.29540497
2012;11;Bogota;Bogota;hombre;0.4713437
2012;11;Bogota;Bogota;mujer;0.48268664
2012;13;Bolivar;Cartagena;hombre;0.180309
2012;13;Bolivar;Cartagena;mujer;0.20548882
2012;15;Boyaca;Tunja;hombre;0.13837853
2012;15;Boyaca;Tunja;mujer;0.14427947
2012;17;Caldas;Manizales;hombre;0.25051767
2012;17;Caldas;Manizales;mujer;0.27008286
2012;18;Caqueta;Florencia;hombre;0.076913074
2012;18;Caqueta;Florencia;mujer;0.075963154
2012;19;Cauca;Popayan;hombre;0.1054235
2012;19;Cauca;Popayan;mujer;0.10133743
2012;20;Cesar;Valledupar;hombre;0.11552279
2012;20;Cesar;Valledupar;mujer;0.12398957
2012;23;Cordoba;Monteria;hombre;0.11596294
2012;23;Cordoba;Monteria;mujer;0.1349832
