year;dpto;nom_dpto;nom_ciu;sexo;Basuras;Electricidad;Alcantarillado;GasNatural;Acueducto
2010;5;Antioquia;Medellin;hombre;0.8482976;0.96144712;0.77979428;0.34010795;0.87730801
2010;5;Antioquia;Medellin;mujer;0.88175958;0.96775669;0.81267822;0.36624154;0.90349126
2010;8;Atlantico;Barranquilla;hombre;0.85288608;0.93108857;0.72319365;0.83661449;0.8793903
2010;8;Atlantico;Barranquilla;mujer;0.86969227;0.94121206;0.74777424;0.85787475;0.89511412
2010;11;Bogota;Bogota;hombre;0.97671378;0.9770757;0.97348267;0.84128827;0.97356486
2010;11;Bogota;Bogota;mujer;0.97953659;0.98021775;0.97676706;0.85766321;0.97642183
2010;13;Bolivar;Cartagena;hombre;0.61157054;0.9080742;0.43633538;0.56014222;0.70990115
2010;13;Bolivar;Cartagena;mujer;0.67198169;0.93056846;0.4941788;0.61246222;0.75385177
2010;15;Boyaca;Tunja;hombre;0.58558577;0.96360052;0.57628989;0.34687072;0.81946123
2010;15;Boyaca;Tunja;mujer;0.63275796;0.96874022;0.62428522;0.37056184;0.83871764
2010;17;Caldas;Manizales;hombre;0.75827485;0.98525476;0.72601491;0.38026142;0.85059941
2010;17;Caldas;Manizales;mujer;0.80204421;0.98634166;0.7757262;0.41670513;0.87834191
2010;18;Caqueta;Florencia;hombre;0.58073097;0.76646435;0.52002186;0.10278699;0.57442212
2010;18;Caqueta;Florencia;mujer;0.62805551;0.79806906;0.54398322;0.12125476;0.60954005
2010;19;Cauca;Popayan;hombre;0.45019987;0.88283551;0.45330337;0.062019147;0.74472046
2010;19;Cauca;Popayan;mujer;0.50845802;0.88941693;0.50514889;0.073148772;0.76729316
2010;20;Cesar;Valledupar;hombre;0.64464593;0.88433295;0.63349235;0.48616037;0.78712672
2010;20;Cesar;Valledupar;mujer;0.68774354;0.92044002;0.68666625;0.53597492;0.83243179
2010;23;Cordoba;Monteria;hombre;0.52575839;0.93930984;0.2491449;0.4306972;0.72656769
2010;23;Cordoba;Monteria;mujer;0.58045077;0.94782162;0.28418148;0.4783712;0.75848538
2010;25;Cundinamarca;Cundinamarca;hombre;0.69719672;0.97272098;0.6072138;0.35557774;0.82723814
2010;25;Cundinamarca;Cundinamarca;mujer;0.73218405;0.97198838;0.65191257;0.3901045;0.85617054
2010;27;Choco;Quibdo;hombre;0.31165755;0.74825096;0.1813655;0.001162566;0.39896023
2010;27;Choco;Quibdo;mujer;0.35355574;0.75544888;0.19018738;0.001920258;0.39386791
2010;41;Huila;Neiva;hombre;0.60883296;0.95268124;0.64262486;0.49802291;0.84514332
2010;41;Huila;Neiva;mujer;0.67030442;0.95672733;0.70377272;0.55677789;0.86893487
2010;44;La Guajira;Riohacha;hombre;0.60648066;0.80172074;0.4549323;0.4550001;0.58003545
2010;44;La Guajira;Riohacha;mujer;0.60960066;0.79704267;0.46840402;0.46669033;0.59576535
2010;47;Magdalena;Santa Marta;hombre;0.58566988;0.90618241;0.37851688;0.48941076;0.73526341
2010;47;Magdalena;Santa Marta;mujer;0.63925672;0.93143076;0.42457113;0.53846681;0.77574086
2010;50;Meta;Villavicencio;hombre;0.6879738;0.88355303;0.63487726;0.41620359;0.64154631
2010;50;Meta;Villavicencio;mujer;0.75349903;0.91409463;0.70332611;0.47748718;0.69109428
2010;52;Nariño;Pasto;hombre;0.5648374;0.95475376;0.46648872;8.5032E-05;0.80572224
2010;52;Nariño;Pasto;mujer;0.60760909;0.96080327;0.50232387;0.000614222;0.80991411
2010;54;Norte de Santander;Cucuta;hombre;0.72094887;0.95002741;0.69221187;0.22859003;0.7573027
2010;54;Norte de Santander;Cucuta;mujer;0.77699;0.95558065;0.74517483;0.25147632;0.80638999
2010;63;Quindio;Armenia;hombre;0.76893294;0.9654032;0.68298215;0.45778495;0.90196323
2010;63;Quindio;Armenia;mujer;0.81865692;0.97821152;0.74913615;0.51238817;0.92587531
2010;66;Risaralda;Pereira;hombre;0.79484713;0.97887397;0.7421754;0.4280957;0.85068572
2010;66;Risaralda;Pereira;mujer;0.83341974;0.97847325;0.78835106;0.46028548;0.88005197
2010;68;Santander;Bucaramanga;hombre;0.70748752;0.94569999;0.68398893;0.55778784;0.78425133
2010;68;Santander;Bucaramanga;mujer;0.75855631;0.94728363;0.73298514;0.59487122;0.81481683
2010;70;Sucre;Sincelejo;hombre;0.47243056;0.91725039;0.44336903;0.44694337;0.76699507
2010;70;Sucre;Sincelejo;mujer;0.52390325;0.93518269;0.48856473;0.50077206;0.80901396
2010;73;Tolima;Ibague;hombre;0.66325438;0.94456607;0.65747452;0.44497296;0.82003403
2010;73;Tolima;Ibague;mujer;0.71752346;0.95400971;0.70546412;0.5061776;0.85849136
2010;76;Valle del Cauca;Cali;hombre;0.86322105;0.94275236;0.79306221;0.55907595;0.89069659
