year;dpto;nom_dpto;nom_ciu;sexo;Carro;Moto;Bicicleta
2010;5;Antioquia;Medellin;hombre;0.13310395;0.18582971;0.28512183
2010;5;Antioquia;Medellin;mujer;0.12830603;0.15763196;0.26569226
2010;8;Atlantico;Barranquilla;hombre;0.083140269;0.1196138;0.23193169
2010;8;Atlantico;Barranquilla;mujer;0.085618235;0.1099298;0.21825324
2010;11;Bogota;Bogota;hombre;0.23088643;0.077330641;0.4116109
2010;11;Bogota;Bogota;mujer;0.21399163;0.063224986;0.37324145
2010;13;Bolivar;Cartagena;hombre;0.055516515;0.12740028;0.23111445
2010;13;Bolivar;Cartagena;mujer;0.060381528;0.11576279;0.21889108
2010;15;Boyaca;Tunja;hombre;0.17585817;0.10925125;0.27598172
2010;15;Boyaca;Tunja;mujer;0.1641738;0.083987869;0.25421271
2010;17;Caldas;Manizales;hombre;0.10075636;0.2060968;0.29128173
2010;17;Caldas;Manizales;mujer;0.094443083;0.17678271;0.27299941
2010;18;Caqueta;Florencia;hombre;0.058759633;0.24294603;0.11727478
2010;18;Caqueta;Florencia;mujer;0.049416002;0.22011843;0.11880237
2010;19;Cauca;Popayan;hombre;0.055804901;0.16454338;0.20553064
2010;19;Cauca;Popayan;mujer;0.052462071;0.15793753;0.1977682
2010;20;Cesar;Valledupar;hombre;0.089089341;0.23846264;0.48487282
2010;20;Cesar;Valledupar;mujer;0.089739114;0.22795294;0.46293911
2010;23;Cordoba;Monteria;hombre;0.043862604;0.23856866;0.50560802
2010;23;Cordoba;Monteria;mujer;0.047496848;0.23362011;0.46695045
2010;25;Cundinamarca;Cundinamarca;hombre;0.13667372;0.14266637;0.41511697
2010;25;Cundinamarca;Cundinamarca;mujer;0.13864666;0.13073045;0.3872256
2010;27;Choco;Quibdo;hombre;0.00671993;0.082509078;0.061357651
2010;27;Choco;Quibdo;mujer;0.006811314;0.083699442;0.06080256
2010;41;Huila;Neiva;hombre;0.11203759;0.33090642;0.29273203
2010;41;Huila;Neiva;mujer;0.10964277;0.30437154;0.2876378
2010;44;La Guajira;Riohacha;hombre;0.082756624;0.071376763;0.33838341
2010;44;La Guajira;Riohacha;mujer;0.077613801;0.070347659;0.31021425
2010;47;Magdalena;Santa Marta;hombre;0.057752606;0.18023121;0.36759603
2010;47;Magdalena;Santa Marta;mujer;0.061383341;0.1727246;0.35141677
2010;50;Meta;Villavicencio;hombre;0.10619266;0.34537295;0.44464499
2010;50;Meta;Villavicencio;mujer;0.10525018;0.32139504;0.42219377
2010;52;Nariño;Pasto;hombre;0.069488935;0.1833401;0.17244656
2010;52;Nariño;Pasto;mujer;0.064480431;0.15731324;0.15959716
2010;54;Norte de Santander;Cucuta;hombre;0.13703114;0.23260336;0.27835438
2010;54;Norte de Santander;Cucuta;mujer;0.13436653;0.21149816;0.25840414
2010;63;Quindio;Armenia;hombre;0.10683581;0.23982896;0.40733433
2010;63;Quindio;Armenia;mujer;0.11278317;0.21509337;0.37297636
2010;66;Risaralda;Pereira;hombre;0.10348233;0.20348728;0.28647164
2010;66;Risaralda;Pereira;mujer;0.09998367;0.17739344;0.2716926
2010;68;Santander;Bucaramanga;hombre;0.1658131;0.25871852;0.23119612
2010;68;Santander;Bucaramanga;mujer;0.15286016;0.22262852;0.21727443
2010;70;Sucre;Sincelejo;hombre;0.036039568;0.18445018;0.31001639
2010;70;Sucre;Sincelejo;mujer;0.037830275;0.18082182;0.29503551
2010;73;Tolima;Ibague;hombre;0.093363389;0.22229958;0.38307846
2010;73;Tolima;Ibague;mujer;0.093329266;0.19868509;0.37377614
2010;76;Valle del Cauca;Cali;hombre;0.13260289;0.25953519;0.51053458
2010;76;Valle del Cauca;Cali;mujer;0.12748721;0.22766162;0.47632226
2011;5;Antioquia;Medellin;hombre;0.12873203;0.21333675;0.33185363
2011;5;Antioquia;Medellin;mujer;0.12695448;0.18324383;0.3064062
2011;8;Atlantico;Barranquilla;hombre;0.071805544;0.12699234;0.26370943
2011;8;Atlantico;Barranquilla;mujer;0.078126371;0.11103684;0.23992963
2011;11;Bogota;Bogota;hombre;0.21601044;0.095311686;0.38747665
2011;11;Bogota;Bogota;mujer;0.21114682;0.080233708;0.35574567
2011;13;Bolivar;Cartagena;hombre;0.055078611;0.15531482;0.22116977
2011;13;Bolivar;Cartagena;mujer;0.06005751;0.14356527;0.20922615
2011;15;Boyaca;Tunja;hombre;0.155973;0.10123557;0.28334445
2011;15;Boyaca;Tunja;mujer;0.15306282;0.09591195;0.25885791
2011;17;Caldas;Manizales;hombre;0.10407814;0.23088562;0.3500216
2011;17;Caldas;Manizales;mujer;0.093654379;0.19892058;0.33640197
2011;18;Caqueta;Florencia;hombre;0.045162313;0.25183648;0.15240154
2011;18;Caqueta;Florencia;mujer;0.044059247;0.24165525;0.15225159
2011;19;Cauca;Popayan;hombre;0.058331333;0.20520285;0.25705248
2011;19;Cauca;Popayan;mujer;0.053522903;0.19524595;0.24504955
2011;20;Cesar;Valledupar;hombre;0.093383186;0.28086057;0.44166359
2011;20;Cesar;Valledupar;mujer;0.093109459;0.27076787;0.41153994
2011;23;Cordoba;Monteria;hombre;0.051844459;0.26079008;0.45590153
2011;23;Cordoba;Monteria;mujer;0.058330864;0.25030857;0.44259983
2011;25;Cundinamarca;Cundinamarca;hombre;0.12154105;0.17390265;0.44216964
2011;25;Cundinamarca;Cundinamarca;mujer;0.1181232;0.16079916;0.42692691
2011;27;Choco;Quibdo;hombre;0.01263232;0.11032315;0.082553469
2011;27;Choco;Quibdo;mujer;0.011893689;0.10263731;0.086200029
2011;41;Huila;Neiva;hombre;0.10802168;0.36096102;0.32297772
2011;41;Huila;Neiva;mujer;0.10375985;0.33299682;0.3039428
2011;44;La Guajira;Riohacha;hombre;0.067949355;0.078507781;0.2815564
2011;44;La Guajira;Riohacha;mujer;0.07173153;0.07755845;0.26040402
2011;47;Magdalena;Santa Marta;hombre;0.049512681;0.21189159;0.36416346
2011;47;Magdalena;Santa Marta;mujer;0.054312468;0.19497795;0.33816409
2011;50;Meta;Villavicencio;hombre;0.10295813;0.36221531;0.41207486
2011;50;Meta;Villavicencio;mujer;0.10138438;0.34209916;0.39458856
2011;52;Nariño;Pasto;hombre;0.073011525;0.19218001;0.23534499
2011;52;Nariño;Pasto;mujer;0.067949235;0.17212032;0.20982176
2011;54;Norte de Santander;Cucuta;hombre;0.14639637;0.24013153;0.27711183
2011;54;Norte de Santander;Cucuta;mujer;0.1453812;0.22786541;0.27027848
2011;63;Quindio;Armenia;hombre;0.1142622;0.25426605;0.3843087
2011;63;Quindio;Armenia;mujer;0.10929542;0.22694699;0.35792938
2011;66;Risaralda;Pereira;hombre;0.1130828;0.24297541;0.28433859
2011;66;Risaralda;Pereira;mujer;0.10617902;0.21580997;0.27342626
2011;68;Santander;Bucaramanga;hombre;0.15656763;0.28252968;0.22604144
2011;68;Santander;Bucaramanga;mujer;0.14884733;0.25619498;0.22277839
2011;70;Sucre;Sincelejo;hombre;0.042677782;0.27191031;0.31342503
2011;70;Sucre;Sincelejo;mujer;0.045112722;0.25819406;0.29666659
2011;73;Tolima;Ibague;hombre;0.096723624;0.24396399;0.38420555
2011;73;Tolima;Ibague;mujer;0.090767115;0.22243075;0.37868595
2011;76;Valle del Cauca;Cali;hombre;0.12538414;0.27981353;0.51542974
2011;76;Valle del Cauca;Cali;mujer;0.12485791;0.25306702;0.48068613
2012;5;Antioquia;Medellin;hombre;0.12832779;0.25025088;0.33920369
2012;5;Antioquia;Medellin;mujer;0.12801369;0.21586376;0.31842396
2012;8;Atlantico;Barranquilla;hombre;0.09029597;0.13887894;0.26491946
2012;8;Atlantico;Barranquilla;mujer;0.096355259;0.12665465;0.25335875
2012;11;Bogota;Bogota;hombre;0.21035916;0.10101268;0.38979223
2012;11;Bogota;Bogota;mujer;0.20401716;0.085182972;0.36759666
2012;13;Bolivar;Cartagena;hombre;0.053011764;0.17014605;0.23735388
2012;13;Bolivar;Cartagena;mujer;0.056985646;0.15835497;0.23091845
2012;15;Boyaca;Tunja;hombre;0.15356241;0.11992184;0.29506731
2012;15;Boyaca;Tunja;mujer;0.14196305;0.10041026;0.25909868
2012;17;Caldas;Manizales;hombre;0.094490334;0.23660727;0.35229498
2012;17;Caldas;Manizales;mujer;0.090497419;0.21604621;0.32183355
2012;18;Caqueta;Florencia;hombre;0.067238934;0.29768214;0.16717309
2012;18;Caqueta;Florencia;mujer;0.054794166;0.28154126;0.16102229
2012;19;Cauca;Popayan;hombre;0.074833028;0.24781114;0.26866379
2012;19;Cauca;Popayan;mujer;0.063800633;0.21686745;0.25003427
2012;20;Cesar;Valledupar;hombre;0.095123217;0.29857063;0.41405064
2012;20;Cesar;Valledupar;mujer;0.090989396;0.29129198;0.38112307
2012;23;Cordoba;Monteria;hombre;0.062894091;0.29578117;0.48081118
2012;23;Cordoba;Monteria;mujer;0.067134336;0.29312012;0.46213737
2012;25;Cundinamarca;Cundinamarca;hombre;0.13596499;0.17863715;0.40956599
2012;25;Cundinamarca;Cundinamarca;mujer;0.13712446;0.16796492;0.40726307
2012;27;Choco;Quibdo;hombre;0.012361966;0.11609135;0.13513327
2012;27;Choco;Quibdo;mujer;0.010817502;0.11304558;0.13346182
2012;41;Huila;Neiva;hombre;0.11925057;0.42856815;0.32701075
2012;41;Huila;Neiva;mujer;0.11552818;0.40475202;0.31682184
2012;44;La Guajira;Riohacha;hombre;0.11542277;0.11796221;0.35847828
2012;44;La Guajira;Riohacha;mujer;0.10299978;0.10428693;0.31981817
2012;47;Magdalena;Santa Marta;hombre;0.055958834;0.24376234;0.38108426
2012;47;Magdalena;Santa Marta;mujer;0.058456842;0.21974619;0.36022687
2012;50;Meta;Villavicencio;hombre;0.13112077;0.39553192;0.42132756
2012;50;Meta;Villavicencio;mujer;0.12986197;0.37081686;0.40698218
2012;52;Nariño;Pasto;hombre;0.07311444;0.22140917;0.20714946
2012;52;Nariño;Pasto;mujer;0.068878636;0.19345155;0.19224249
2012;54;Norte de Santander;Cucuta;hombre;0.12822254;0.27093145;0.28430477
2012;54;Norte de Santander;Cucuta;mujer;0.12459168;0.24839938;0.26950228
2012;63;Quindio;Armenia;hombre;0.13591594;0.27393308;0.39433461
2012;63;Quindio;Armenia;mujer;0.12281428;0.24369204;0.37828004
2012;66;Risaralda;Pereira;hombre;0.11358915;0.25826147;0.29680467
2012;66;Risaralda;Pereira;mujer;0.1061414;0.23206064;0.28301165
2012;68;Santander;Bucaramanga;hombre;0.16693333;0.30269891;0.256964
2012;68;Santander;Bucaramanga;mujer;0.15927608;0.27384117;0.24025784
2012;70;Sucre;Sincelejo;hombre;0.03610824;0.28686103;0.28038764
2012;70;Sucre;Sincelejo;mujer;0.034159172;0.27002609;0.27501449
2012;73;Tolima;Ibague;hombre;0.1092327;0.27517796;0.3468464
2012;73;Tolima;Ibague;mujer;0.09743242;0.25213656;0.33212492
2012;76;Valle del Cauca;Cali;hombre;0.14700681;0.32444957;0.51050127
2012;76;Valle del Cauca;Cali;mujer;0.14371398;0.29012945;0.47990027
2013;5;Antioquia;Medellin;hombre;0.1302063;0.25735757;0.33591914
2013;5;Antioquia;Medellin;mujer;0.1281932;0.22794987;0.33350185
2013;8;Atlantico;Barranquilla;hombre;0.087191917;0.13938452;0.24110425
2013;8;Atlantico;Barranquilla;mujer;0.093018934;0.12342994;0.22038226
2013;11;Bogota;Bogota;hombre;0.23975125;0.11837327;0.41118363
2013;11;Bogota;Bogota;mujer;0.23638673;0.097822458;0.37888271
2013;13;Bolivar;Cartagena;hombre;0.059854362;0.18503666;0.24263018
2013;13;Bolivar;Cartagena;mujer;0.061182961;0.16497315;0.22210903
2013;15;Boyaca;Tunja;hombre;0.16923529;0.15391578;0.31199029
2013;15;Boyaca;Tunja;mujer;0.15659392;0.13945904;0.29471451
2013;17;Caldas;Manizales;hombre;0.11724323;0.26827437;0.31241837
2013;17;Caldas;Manizales;mujer;0.10654169;0.23414665;0.29196081
2013;18;Caqueta;Florencia;hombre;0.062796749;0.35180989;0.13437946
2013;18;Caqueta;Florencia;mujer;0.05739199;0.33915889;0.13554095
2013;19;Cauca;Popayan;hombre;0.06392654;0.25466809;0.25628579
2013;19;Cauca;Popayan;mujer;0.065989345;0.23725834;0.23256101
2013;20;Cesar;Valledupar;hombre;0.08865463;0.30868441;0.41030419
2013;20;Cesar;Valledupar;mujer;0.08748322;0.30657819;0.38792592
