year;dpto;nom_dpto;nom_ciu;sexo;Computador
2010;5;Antioquia;Medellin;hombre;0.34960407
2010;5;Antioquia;Medellin;mujer;0.37147442
2010;8;Atlantico;Barranquilla;hombre;0.23182318
2010;8;Atlantico;Barranquilla;mujer;0.24857183
2010;11;Bogota;Bogota;hombre;0.49774188
2010;11;Bogota;Bogota;mujer;0.50183433
2010;13;Bolivar;Cartagena;hombre;0.15161343
2010;13;Bolivar;Cartagena;mujer;0.17847969
2010;15;Boyaca;Tunja;hombre;0.18382181
2010;15;Boyaca;Tunja;mujer;0.1961336
2010;17;Caldas;Manizales;hombre;0.2649132
2010;17;Caldas;Manizales;mujer;0.28479126
2010;18;Caqueta;Florencia;hombre;0.10524853
2010;18;Caqueta;Florencia;mujer;0.11302771
2010;19;Cauca;Popayan;hombre;0.12993011
2010;19;Cauca;Popayan;mujer;0.13985878
2010;20;Cesar;Valledupar;hombre;0.13161768
2010;20;Cesar;Valledupar;mujer;0.14961591
2010;23;Cordoba;Monteria;hombre;0.1024991
2010;23;Cordoba;Monteria;mujer;0.11344338
2010;25;Cundinamarca;Cundinamarca;hombre;0.22400044
2010;25;Cundinamarca;Cundinamarca;mujer;0.25847745
2010;27;Choco;Quibdo;hombre;0.059300169
2010;27;Choco;Quibdo;mujer;0.066149272
2010;41;Huila;Neiva;hombre;0.20191215
2010;41;Huila;Neiva;mujer;0.2211764
2010;44;La Guajira;Riohacha;hombre;0.088483796
2010;44;La Guajira;Riohacha;mujer;0.092622995
2010;47;Magdalena;Santa Marta;hombre;0.1287262
2010;47;Magdalena;Santa Marta;mujer;0.1537037
2010;50;Meta;Villavicencio;hombre;0.19074896
2010;50;Meta;Villavicencio;mujer;0.21716067
2010;52;Nariño;Pasto;hombre;0.11483351
2010;52;Nariño;Pasto;mujer;0.12628153
2010;54;Norte de Santander;Cucuta;hombre;0.18213846
2010;54;Norte de Santander;Cucuta;mujer;0.20116125
2010;63;Quindio;Armenia;hombre;0.24476311
2010;63;Quindio;Armenia;mujer;0.26170099
2010;66;Risaralda;Pereira;hombre;0.25813451
2010;66;Risaralda;Pereira;mujer;0.27553186
2010;68;Santander;Bucaramanga;hombre;0.30749422
2010;68;Santander;Bucaramanga;mujer;0.31908056
2010;70;Sucre;Sincelejo;hombre;0.090059169
2010;70;Sucre;Sincelejo;mujer;0.10211234
2010;73;Tolima;Ibague;hombre;0.20276231
2010;73;Tolima;Ibague;mujer;0.22980711
2010;76;Valle del Cauca;Cali;hombre;0.31951755
2010;76;Valle del Cauca;Cali;mujer;0.33331716
2011;5;Antioquia;Medellin;hombre;0.38220543
2011;5;Antioquia;Medellin;mujer;0.40901232
2011;8;Atlantico;Barranquilla;hombre;0.2658034
2011;8;Atlantico;Barranquilla;mujer;0.2864345
2011;11;Bogota;Bogota;hombre;0.52049863
2011;11;Bogota;Bogota;mujer;0.53767347
2011;13;Bolivar;Cartagena;hombre;0.19703072
2011;13;Bolivar;Cartagena;mujer;0.22416069
2011;15;Boyaca;Tunja;hombre;0.20682794
2011;15;Boyaca;Tunja;mujer;0.21714552
2011;17;Caldas;Manizales;hombre;0.29825103
2011;17;Caldas;Manizales;mujer;0.31291303
2011;18;Caqueta;Florencia;hombre;0.1250706
2011;18;Caqueta;Florencia;mujer;0.13248427
2011;19;Cauca;Popayan;hombre;0.15052068
2011;19;Cauca;Popayan;mujer;0.16005385
2011;20;Cesar;Valledupar;hombre;0.13908648
2011;20;Cesar;Valledupar;mujer;0.15117906
2011;23;Cordoba;Monteria;hombre;0.11469471
2011;23;Cordoba;Monteria;mujer;0.13282208
2011;25;Cundinamarca;Cundinamarca;hombre;0.27115127
2011;25;Cundinamarca;Cundinamarca;mujer;0.29134175
2011;27;Choco;Quibdo;hombre;0.089491531
2011;27;Choco;Quibdo;mujer;0.095569089
2011;41;Huila;Neiva;hombre;0.21275035
2011;41;Huila;Neiva;mujer;0.22707167
2011;44;La Guajira;Riohacha;hombre;0.10534208
2011;44;La Guajira;Riohacha;mujer;0.11751564
2011;47;Magdalena;Santa Marta;hombre;0.15052444
2011;47;Magdalena;Santa Marta;mujer;0.16913278
2011;50;Meta;Villavicencio;hombre;0.22562532
2011;50;Meta;Villavicencio;mujer;0.24946788
2011;52;Nariño;Pasto;hombre;0.14513938
2011;52;Nariño;Pasto;mujer;0.14892481
2011;54;Norte de Santander;Cucuta;hombre;0.21554646
2011;54;Norte de Santander;Cucuta;mujer;0.23292868
2011;63;Quindio;Armenia;hombre;0.26377094
2011;63;Quindio;Armenia;mujer;0.27312991
2011;66;Risaralda;Pereira;hombre;0.31853545
2011;66;Risaralda;Pereira;mujer;0.33877775
2011;68;Santander;Bucaramanga;hombre;0.29693118
2011;68;Santander;Bucaramanga;mujer;0.32058236
2011;70;Sucre;Sincelejo;hombre;0.10888059
2011;70;Sucre;Sincelejo;mujer;0.12641311
2011;73;Tolima;Ibague;hombre;0.24126908
2011;73;Tolima;Ibague;mujer;0.25611433
2011;76;Valle del Cauca;Cali;hombre;0.3611733
2011;76;Valle del Cauca;Cali;mujer;0.38434571
2012;5;Antioquia;Medellin;hombre;0.42251411
2012;5;Antioquia;Medellin;mujer;0.44932047
2012;8;Atlantico;Barranquilla;hombre;0.31712362
2012;8;Atlantico;Barranquilla;mujer;0.33638048
2012;11;Bogota;Bogota;hombre;0.5516606
2012;11;Bogota;Bogota;mujer;0.56496692
2012;13;Bolivar;Cartagena;hombre;0.20901558
2012;13;Bolivar;Cartagena;mujer;0.23514204
2012;15;Boyaca;Tunja;hombre;0.22216043
2012;15;Boyaca;Tunja;mujer;0.23422492
2012;17;Caldas;Manizales;hombre;0.31963986
2012;17;Caldas;Manizales;mujer;0.3424536
2012;18;Caqueta;Florencia;hombre;0.15650645
2012;18;Caqueta;Florencia;mujer;0.16925688
2012;19;Cauca;Popayan;hombre;0.182265
2012;19;Cauca;Popayan;mujer;0.18356524
2012;20;Cesar;Valledupar;hombre;0.16833979
2012;20;Cesar;Valledupar;mujer;0.17555718
2012;23;Cordoba;Monteria;hombre;0.1511742
2012;23;Cordoba;Monteria;mujer;0.17123885
2012;25;Cundinamarca;Cundinamarca;hombre;0.29476848
2012;25;Cundinamarca;Cundinamarca;mujer;0.32645699
2012;27;Choco;Quibdo;hombre;0.092255197
2012;27;Choco;Quibdo;mujer;0.099291727
2012;41;Huila;Neiva;hombre;0.25247881
2012;41;Huila;Neiva;mujer;0.27189469
2012;44;La Guajira;Riohacha;hombre;0.15140969
2012;44;La Guajira;Riohacha;mujer;0.14913963
2012;47;Magdalena;Santa Marta;hombre;0.17466374
2012;47;Magdalena;Santa Marta;mujer;0.19188273
2012;50;Meta;Villavicencio;hombre;0.28573665
2012;50;Meta;Villavicencio;mujer;0.29990271
2012;52;Nariño;Pasto;hombre;0.16403995
2012;52;Nariño;Pasto;mujer;0.16514842
2012;54;Norte de Santander;Cucuta;hombre;0.23314624
2012;54;Norte de Santander;Cucuta;mujer;0.24684875
2012;63;Quindio;Armenia;hombre;0.29058796
2012;63;Quindio;Armenia;mujer;0.2939629
2012;66;Risaralda;Pereira;hombre;0.34426075
2012;66;Risaralda;Pereira;mujer;0.36143565
2012;68;Santander;Bucaramanga;hombre;0.36089042
2012;68;Santander;Bucaramanga;mujer;0.38039437
2012;70;Sucre;Sincelejo;hombre;0.12401645
2012;70;Sucre;Sincelejo;mujer;0.13343757
2012;73;Tolima;Ibague;hombre;0.25774634
2012;73;Tolima;Ibague;mujer;0.27762201
2012;76;Valle del Cauca;Cali;hombre;0.39972565
2012;76;Valle del Cauca;Cali;mujer;0.41670296
2013;5;Antioquia;Medellin;hombre;0.45688003
2013;5;Antioquia;Medellin;mujer;0.48651841
2013;8;Atlantico;Barranquilla;hombre;0.34510675
2013;8;Atlantico;Barranquilla;mujer;0.37402508
2013;11;Bogota;Bogota;hombre;0.61012352
2013;11;Bogota;Bogota;mujer;0.6244961
2013;13;Bolivar;Cartagena;hombre;0.25994551
2013;13;Bolivar;Cartagena;mujer;0.27627367
2013;15;Boyaca;Tunja;hombre;0.23309131
2013;15;Boyaca;Tunja;mujer;0.25125766
2013;17;Caldas;Manizales;hombre;0.37724936
2013;17;Caldas;Manizales;mujer;0.39090541
2013;18;Caqueta;Florencia;hombre;0.16372584
2013;18;Caqueta;Florencia;mujer;0.18054646
2013;19;Cauca;Popayan;hombre;0.19797675
2013;19;Cauca;Popayan;mujer;0.22036876
2013;20;Cesar;Valledupar;hombre;0.18466957
2013;20;Cesar;Valledupar;mujer;0.20074648
2013;23;Cordoba;Monteria;hombre;0.18117556
2013;23;Cordoba;Monteria;mujer;0.19399515
2013;25;Cundinamarca;Cundinamarca;hombre;0.35553542
2013;25;Cundinamarca;Cundinamarca;mujer;0.36046988
2013;27;Choco;Quibdo;hombre;0.12562768
2013;27;Choco;Quibdo;mujer;0.12773454
2013;41;Huila;Neiva;hombre;0.26294503
2013;41;Huila;Neiva;mujer;0.28355178
2013;44;La Guajira;Riohacha;hombre;0.13499501
2013;44;La Guajira;Riohacha;mujer;0.13440132
2013;47;Magdalena;Santa Marta;hombre;0.19216456
2013;47;Magdalena;Santa Marta;mujer;0.21707413
2013;50;Meta;Villavicencio;hombre;0.30504477
2013;50;Meta;Villavicencio;mujer;0.33794677
2013;52;Nariño;Pasto;hombre;0.19223863
2013;52;Nariño;Pasto;mujer;0.20520651
2013;54;Norte de Santander;Cucuta;hombre;0.24119918
2013;54;Norte de Santander;Cucuta;mujer;0.26919252
2013;63;Quindio;Armenia;hombre;0.31850281
2013;63;Quindio;Armenia;mujer;0.35084891
2013;66;Risaralda;Pereira;hombre;0.38043308
2013;66;Risaralda;Pereira;mujer;0.40292573
2013;68;Santander;Bucaramanga;hombre;0.37632731
2013;68;Santander;Bucaramanga;mujer;0.40504298
2013;70;Sucre;Sincelejo;hombre;0.13920417
2013;70;Sucre;Sincelejo;mujer;0.16711563
2013;73;Tolima;Ibague;hombre;0.28580481
2013;73;Tolima;Ibague;mujer;0.31325081
2013;76;Valle del Cauca;Cali;hombre;0.43414491
2013;76;Valle del Cauca;Cali;mujer;0.46083179
2014;5;Antioquia;Medellin;hombre;0.46916074
2014;5;Antioquia;Medellin;mujer;0.49644044
2014;8;Atlantico;Barranquilla;hombre;0.37503958
2014;8;Atlantico;Barranquilla;mujer;0.3986119
2014;11;Bogota;Bogota;hombre;0.60120797
2014;11;Bogota;Bogota;mujer;0.61317736
2014;13;Bolivar;Cartagena;hombre;0.2741169
2014;13;Bolivar;Cartagena;mujer;0.30315393
2014;15;Boyaca;Tunja;hombre;0.27486372
2014;15;Boyaca;Tunja;mujer;0.29548696
2014;17;Caldas;Manizales;hombre;0.36462945
2014;17;Caldas;Manizales;mujer;0.3939299
2014;18;Caqueta;Florencia;hombre;0.1882229
2014;18;Caqueta;Florencia;mujer;0.18570825
2014;19;Cauca;Popayan;hombre;0.19054388
2014;19;Cauca;Popayan;mujer;0.21748194
2014;20;Cesar;Valledupar;hombre;0.1939853
2014;20;Cesar;Valledupar;mujer;0.22126895
2014;23;Cordoba;Monteria;hombre;0.17968374
2014;23;Cordoba;Monteria;mujer;0.19545257
2014;25;Cundinamarca;Cundinamarca;hombre;0.38066366
2014;25;Cundinamarca;Cundinamarca;mujer;0.39946881
2014;27;Choco;Quibdo;hombre;0.11793828
2014;27;Choco;Quibdo;mujer;0.12870763
2014;41;Huila;Neiva;hombre;0.28112608
2014;41;Huila;Neiva;mujer;0.2946727
2014;44;La Guajira;Riohacha;hombre;0.14032094
