year;dpto;nom_dpto;nom_ciu;sexo;Estufa;InmuebleRecreo;TV;Lavadora;Nevera
2010;5;Antioquia;Medellin;hombre;0.72912121;0.027422218;0.91746712;0.53121614;0.85591865
2010;5;Antioquia;Medellin;mujer;0.76146603;0.029011505;0.93441427;0.57184207;0.8828761
2010;8;Atlantico;Barranquilla;hombre;0.88267446;0.012862515;0.93129224;0.39581454;0.77475065
2010;8;Atlantico;Barranquilla;mujer;0.90207952;0.013441734;0.94920129;0.42634609;0.80877614
2010;11;Bogota;Bogota;hombre;0.96158171;0.037038974;0.9770056;0.67827809;0.83179724
2010;11;Bogota;Bogota;mujer;0.98230255;0.038645938;0.97933453;0.69399017;0.85826439
2010;13;Bolivar;Cartagena;hombre;0.76339328;0.007569728;0.84885931;0.36529157;0.67285699
2010;13;Bolivar;Cartagena;mujer;0.81535959;0.008336502;0.88638932;0.40697786;0.71784055
2010;15;Boyaca;Tunja;hombre;0.77070522;0.020463377;0.86636484;0.31949335;0.64457071
2010;15;Boyaca;Tunja;mujer;0.79164994;0.021003466;0.87507302;0.34815884;0.67385882
2010;17;Caldas;Manizales;hombre;0.90347707;0.013248387;0.92003435;0.4190366;0.80736864
2010;17;Caldas;Manizales;mujer;0.92958415;0.015076197;0.93051833;0.45328763;0.84723723
2010;18;Caqueta;Florencia;hombre;0.62310904;0.013284202;0.71026516;0.19236395;0.57860178
2010;18;Caqueta;Florencia;mujer;0.65701604;0.011645642;0.73489738;0.20261633;0.6047368
2010;19;Cauca;Popayan;hombre;0.57649761;0.00615217;0.778992;0.14712909;0.53196865
2010;19;Cauca;Popayan;mujer;0.6450634;0.00651603;0.81225628;0.16479386;0.57962012
2010;20;Cesar;Valledupar;hombre;0.7534796;0.008565192;0.82001454;0.28918204;0.65974921
2010;20;Cesar;Valledupar;mujer;0.80815792;0.009559535;0.86719984;0.31873608;0.713696
2010;23;Cordoba;Monteria;hombre;0.59835464;0.006281145;0.83130211;0.32505709;0.54362154
2010;23;Cordoba;Monteria;mujer;0.65859932;0.009568408;0.85362113;0.35743254;0.59637141
2010;25;Cundinamarca;Cundinamarca;hombre;0.86964381;0.022821927;0.90953439;0.39186785;0.73103243
2010;25;Cundinamarca;Cundinamarca;mujer;0.9092201;0.023163043;0.92993891;0.43029183;0.77235651
2010;27;Choco;Quibdo;hombre;0.58234638;0.008466738;0.63097858;0.13163726;0.45344743
2010;27;Choco;Quibdo;mujer;0.61526364;0.008055206;0.66413438;0.14554213;0.48407444
2010;41;Huila;Neiva;hombre;0.73813581;0.008979968;0.87054956;0.27360043;0.70761067
2010;41;Huila;Neiva;mujer;0.79334223;0.008441917;0.88120639;0.29916608;0.75194478
2010;44;La Guajira;Riohacha;hombre;0.54926807;0.048941091;0.72330642;0.25089183;0.46326694
2010;44;La Guajira;Riohacha;mujer;0.56874329;0.061950251;0.7301535;0.26703623;0.4778741
2010;47;Magdalena;Santa Marta;hombre;0.73097426;0.020762755;0.87316382;0.29823756;0.66287321
2010;47;Magdalena;Santa Marta;mujer;0.79128259;0.020508779;0.9127627;0.33412525;0.71499652
2010;50;Meta;Villavicencio;hombre;0.80257612;0.065991364;0.83345997;0.3480821;0.74522406
2010;50;Meta;Villavicencio;mujer;0.86408198;0.075118273;0.87173539;0.39161351;0.79344952
2010;52;Nariño;Pasto;hombre;0.7423349;0.010349878;0.87311667;0.11461605;0.44504559
2010;52;Nariño;Pasto;mujer;0.77369571;0.011999137;0.88195133;0.12571199;0.47349635
2010;54;Norte de Santander;Cucuta;hombre;0.78027076;0.009819629;0.86617792;0.28818607;0.74248904
2010;54;Norte de Santander;Cucuta;mujer;0.83212829;0.011938985;0.88506579;0.3106319;0.77868819
2010;63;Quindio;Armenia;hombre;0.85960567;0.021881605;0.92231816;0.41213709;0.81846696
2010;63;Quindio;Armenia;mujer;0.90992755;0.020240933;0.95075512;0.44463122;0.85890687
2010;66;Risaralda;Pereira;hombre;0.90489233;0.33586758;0.93490487;0.45841119;0.8555268
2010;66;Risaralda;Pereira;mujer;0.93295628;0.35048014;0.94156921;0.48416579;0.87476563
2010;68;Santander;Bucaramanga;hombre;0.8593908;0.033274308;0.94141692;0.46320584;0.80668509
2010;68;Santander;Bucaramanga;mujer;0.88808632;0.032287374;0.95047587;0.49452484;0.84019423
2010;70;Sucre;Sincelejo;hombre;0.54257387;0.012925255;0.80182141;0.22824073;0.51502359
2010;70;Sucre;Sincelejo;mujer;0.61116379;0.01375471;0.84874678;0.25376573;0.56731027
2010;73;Tolima;Ibague;hombre;0.78353667;0.015713425;0.87697399;0.28447989;0.74940014
2010;73;Tolima;Ibague;mujer;0.85514653;0.018539656;0.90069461;0.322229;0.80125409
2010;76;Valle del Cauca;Cali;hombre;0.91195112;0.022553939;0.93595368;0.48328602;0.83988231
2010;76;Valle del Cauca;Cali;mujer;0.9423551;0.024813207;0.95062232;0.50266701;0.87176043
2011;5;Antioquia;Medellin;hombre;0.94447023;0.030266505;0.91402674;0.56668371;0.86241758
2011;5;Antioquia;Medellin;mujer;0.96101075;0.029729396;0.92884898;0.59363335;0.88535935
2011;8;Atlantico;Barranquilla;hombre;0.88066828;0.012634291;0.93421131;0.45596474;0.80358785
2011;8;Atlantico;Barranquilla;mujer;0.90389222;0.011908115;0.94853491;0.47873965;0.82674569
2011;11;Bogota;Bogota;hombre;0.97265774;0.035852402;0.97755456;0.69095778;0.83742648
2011;11;Bogota;Bogota;mujer;0.98569196;0.037742294;0.98196381;0.70760179;0.85864431
2011;13;Bolivar;Cartagena;hombre;0.74773318;0.009102593;0.85904896;0.44985142;0.6822775
2011;13;Bolivar;Cartagena;mujer;0.79747784;0.008451553;0.88926327;0.48835573;0.72735095
2011;15;Boyaca;Tunja;hombre;0.82847267;0.052265663;0.93733233;0.34447885;0.66807729
2011;15;Boyaca;Tunja;mujer;0.8490712;0.054666061;0.93309963;0.36295536;0.6815837
2011;17;Caldas;Manizales;hombre;0.89005458;0.012325061;0.93572563;0.45020133;0.82843775
2011;17;Caldas;Manizales;mujer;0.90774482;0.011540338;0.94580901;0.47746241;0.84661162
2011;18;Caqueta;Florencia;hombre;0.66258645;0.01375237;0.73266965;0.20788652;0.58045369
2011;18;Caqueta;Florencia;mujer;0.7055192;0.013280218;0.75587076;0.2208302;0.60394132
2011;19;Cauca;Popayan;hombre;0.62492764;0.005942967;0.81749195;0.1594537;0.55449563
2011;19;Cauca;Popayan;mujer;0.67096543;0.006483184;0.83139485;0.17839013;0.59962904
2011;20;Cesar;Valledupar;hombre;0.73874879;0.005659438;0.81765401;0.32367826;0.66474682
2011;20;Cesar;Valledupar;mujer;0.78851551;0.006161742;0.84482211;0.34824941;0.70077527
2011;23;Cordoba;Monteria;hombre;0.63192976;0.004647615;0.82329315;0.32780117;0.56328523
2011;23;Cordoba;Monteria;mujer;0.67784542;0.005676237;0.83254361;0.35810509;0.58549887
