year;dpto;nom_dpto;nom_ciu;sexo;Smartphone
2010;5;Antioquia;Medellin;hombre;0.8848871
2010;5;Antioquia;Medellin;mujer;0.88650423
2010;8;Atlantico;Barranquilla;hombre;0.81877571
2010;8;Atlantico;Barranquilla;mujer;0.83830416
2010;11;Bogota;Bogota;hombre;0.96490276
2010;11;Bogota;Bogota;mujer;0.96034092
2010;13;Bolivar;Cartagena;hombre;0.80526346
2010;13;Bolivar;Cartagena;mujer;0.832681
2010;15;Boyaca;Tunja;hombre;0.92532474
2010;15;Boyaca;Tunja;mujer;0.92818099
2010;17;Caldas;Manizales;hombre;0.91151065
2010;17;Caldas;Manizales;mujer;0.91256893
2010;18;Caqueta;Florencia;hombre;0.58453655
2010;18;Caqueta;Florencia;mujer;0.61485219
2010;19;Cauca;Popayan;hombre;0.77882797
2010;19;Cauca;Popayan;mujer;0.80312288
2010;20;Cesar;Valledupar;hombre;0.85148793
2010;20;Cesar;Valledupar;mujer;0.87025458
2010;23;Cordoba;Monteria;hombre;0.86339092
2010;23;Cordoba;Monteria;mujer;0.87310725
2010;25;Cundinamarca;Cundinamarca;hombre;0.95267451
2010;25;Cundinamarca;Cundinamarca;mujer;0.95056987
2010;27;Choco;Quibdo;hombre;0.64799047
2010;27;Choco;Quibdo;mujer;0.66007119
2010;41;Huila;Neiva;hombre;0.86011845
2010;41;Huila;Neiva;mujer;0.88291728
2010;44;La Guajira;Riohacha;hombre;0.63294554
2010;44;La Guajira;Riohacha;mujer;0.63232577
2010;47;Magdalena;Santa Marta;hombre;0.83575058
2010;47;Magdalena;Santa Marta;mujer;0.86642796
2010;50;Meta;Villavicencio;hombre;0.92056704
2010;50;Meta;Villavicencio;mujer;0.93510091
2010;52;Nariño;Pasto;hombre;0.80396503
2010;52;Nariño;Pasto;mujer;0.81192511
2010;54;Norte de Santander;Cucuta;hombre;0.81209254
2010;54;Norte de Santander;Cucuta;mujer;0.8314327
2010;63;Quindio;Armenia;hombre;0.9515537
2010;63;Quindio;Armenia;mujer;0.96366441
2010;66;Risaralda;Pereira;hombre;0.91179687
2010;66;Risaralda;Pereira;mujer;0.92166716
2010;68;Santander;Bucaramanga;hombre;0.92884129
2010;68;Santander;Bucaramanga;mujer;0.93534666
2010;70;Sucre;Sincelejo;hombre;0.74608696
2010;70;Sucre;Sincelejo;mujer;0.79442459
2010;73;Tolima;Ibague;hombre;0.90909189
2010;73;Tolima;Ibague;mujer;0.92215866
2010;76;Valle del Cauca;Cali;hombre;0.91884303
2010;76;Valle del Cauca;Cali;mujer;0.92397279
2011;5;Antioquia;Medellin;hombre;0.91654539
2011;5;Antioquia;Medellin;mujer;0.92288601
2011;8;Atlantico;Barranquilla;hombre;0.89762622
2011;8;Atlantico;Barranquilla;mujer;0.90828848
2011;11;Bogota;Bogota;hombre;0.97367918
2011;11;Bogota;Bogota;mujer;0.97234285
2011;13;Bolivar;Cartagena;hombre;0.86516547
2011;13;Bolivar;Cartagena;mujer;0.89007515
2011;15;Boyaca;Tunja;hombre;0.96513176
2011;15;Boyaca;Tunja;mujer;0.96310461
2011;17;Caldas;Manizales;hombre;0.93394637
2011;17;Caldas;Manizales;mujer;0.94012159
2011;18;Caqueta;Florencia;hombre;0.63769549
2011;18;Caqueta;Florencia;mujer;0.66053677
2011;19;Cauca;Popayan;hombre;0.82030725
2011;19;Cauca;Popayan;mujer;0.8397029
2011;20;Cesar;Valledupar;hombre;0.86032444
2011;20;Cesar;Valledupar;mujer;0.87946451
2011;23;Cordoba;Monteria;hombre;0.86305571
2011;23;Cordoba;Monteria;mujer;0.88194972
2011;25;Cundinamarca;Cundinamarca;hombre;0.96513623
2011;25;Cundinamarca;Cundinamarca;mujer;0.97053319
2011;27;Choco;Quibdo;hombre;0.75890422
2011;27;Choco;Quibdo;mujer;0.75677109
2011;41;Huila;Neiva;hombre;0.90163893
2011;41;Huila;Neiva;mujer;0.9106009
2011;44;La Guajira;Riohacha;hombre;0.74734753
2011;44;La Guajira;Riohacha;mujer;0.75127214
2011;47;Magdalena;Santa Marta;hombre;0.85902125
2011;47;Magdalena;Santa Marta;mujer;0.88042969
2011;50;Meta;Villavicencio;hombre;0.94418943
2011;50;Meta;Villavicencio;mujer;0.95651454
2011;52;Nariño;Pasto;hombre;0.86493158
2011;52;Nariño;Pasto;mujer;0.87513888
2011;54;Norte de Santander;Cucuta;hombre;0.89544362
2011;54;Norte de Santander;Cucuta;mujer;0.90635329
2011;63;Quindio;Armenia;hombre;0.95481992
2011;63;Quindio;Armenia;mujer;0.96772671
2011;66;Risaralda;Pereira;hombre;0.9321838
2011;66;Risaralda;Pereira;mujer;0.94481802
2011;68;Santander;Bucaramanga;hombre;0.95028895
2011;68;Santander;Bucaramanga;mujer;0.95588344
2011;70;Sucre;Sincelejo;hombre;0.85019028
2011;70;Sucre;Sincelejo;mujer;0.86973304
2011;73;Tolima;Ibague;hombre;0.93238169
2011;73;Tolima;Ibague;mujer;0.93972522
2011;76;Valle del Cauca;Cali;hombre;0.9354893
2011;76;Valle del Cauca;Cali;mujer;0.93834752
2012;5;Antioquia;Medellin;hombre;0.93016535
2012;5;Antioquia;Medellin;mujer;0.93592203
2012;8;Atlantico;Barranquilla;hombre;0.92902988
2012;8;Atlantico;Barranquilla;mujer;0.93775928
2012;11;Bogota;Bogota;hombre;0.97954416
2012;11;Bogota;Bogota;mujer;0.97853297
2012;13;Bolivar;Cartagena;hombre;0.88112313
2012;13;Bolivar;Cartagena;mujer;0.89766604
2012;15;Boyaca;Tunja;hombre;0.97742218
2012;15;Boyaca;Tunja;mujer;0.97366607
2012;17;Caldas;Manizales;hombre;0.9533394
2012;17;Caldas;Manizales;mujer;0.95837152
2012;18;Caqueta;Florencia;hombre;0.77622795
2012;18;Caqueta;Florencia;mujer;0.80493432
2012;19;Cauca;Popayan;hombre;0.85423505
2012;19;Cauca;Popayan;mujer;0.87053102
2012;20;Cesar;Valledupar;hombre;0.85588646
2012;20;Cesar;Valledupar;mujer;0.86186165
2012;23;Cordoba;Monteria;hombre;0.89808887
2012;23;Cordoba;Monteria;mujer;0.90893328
2012;25;Cundinamarca;Cundinamarca;hombre;0.96644092
2012;25;Cundinamarca;Cundinamarca;mujer;0.97128975
2012;27;Choco;Quibdo;hombre;0.74203694
2012;27;Choco;Quibdo;mujer;0.7582038
2012;41;Huila;Neiva;hombre;0.92625481
2012;41;Huila;Neiva;mujer;0.93337291
2012;44;La Guajira;Riohacha;hombre;0.77185619
2012;44;La Guajira;Riohacha;mujer;0.77343524
2012;47;Magdalena;Santa Marta;hombre;0.91091824
2012;47;Magdalena;Santa Marta;mujer;0.92269266
2012;50;Meta;Villavicencio;hombre;0.95878053
2012;50;Meta;Villavicencio;mujer;0.96839345
2012;52;Nariño;Pasto;hombre;0.87911546
2012;52;Nariño;Pasto;mujer;0.88188815
2012;54;Norte de Santander;Cucuta;hombre;0.93281895
2012;54;Norte de Santander;Cucuta;mujer;0.93892169
2012;63;Quindio;Armenia;hombre;0.97655702
2012;63;Quindio;Armenia;mujer;0.983549
2012;66;Risaralda;Pereira;hombre;0.94900185
2012;66;Risaralda;Pereira;mujer;0.94926596
2012;68;Santander;Bucaramanga;hombre;0.95894617
2012;68;Santander;Bucaramanga;mujer;0.96253687
2012;70;Sucre;Sincelejo;hombre;0.89786547
2012;70;Sucre;Sincelejo;mujer;0.91796505
2012;73;Tolima;Ibague;hombre;0.94815266
2012;73;Tolima;Ibague;mujer;0.95228833
2012;76;Valle del Cauca;Cali;hombre;0.95014405
2012;76;Valle del Cauca;Cali;mujer;0.95709866
2013;5;Antioquia;Medellin;hombre;0.95310771
2013;5;Antioquia;Medellin;mujer;0.956797
2013;8;Atlantico;Barranquilla;hombre;0.94809079
2013;8;Atlantico;Barranquilla;mujer;0.95328808
2013;11;Bogota;Bogota;hombre;0.98395211
2013;11;Bogota;Bogota;mujer;0.98285919
2013;13;Bolivar;Cartagena;hombre;0.90775633
2013;13;Bolivar;Cartagena;mujer;0.92598504
2013;15;Boyaca;Tunja;hombre;0.97686744
2013;15;Boyaca;Tunja;mujer;0.97363693
2013;17;Caldas;Manizales;hombre;0.96080703
2013;17;Caldas;Manizales;mujer;0.96679568
2013;18;Caqueta;Florencia;hombre;0.75241649
2013;18;Caqueta;Florencia;mujer;0.77154195
2013;19;Cauca;Popayan;hombre;0.87565094
2013;19;Cauca;Popayan;mujer;0.88516903
2013;20;Cesar;Valledupar;hombre;0.85365891
2013;20;Cesar;Valledupar;mujer;0.86180115
2013;23;Cordoba;Monteria;hombre;0.85832566
