year;Mes;Tipo inactividad;Género;sexo;Total
2010;1;Estudiando ;1;hombre;2760
2010;1;Estudiando ;0;mujer;2622
2010;1;Oficios del Hogar ;1;hombre;310
2010;1;Oficios del Hogar ;0;mujer;5180
2010;1;Otros;1;hombre;1356
2010;1;Otros;0;mujer;874
2010;2;Estudiando ;1;hombre;2883
2010;2;Estudiando ;0;mujer;2731
2010;2;Oficios del Hogar ;1;hombre;301
2010;2;Oficios del Hogar ;0;mujer;5018
2010;2;Otros;1;hombre;1274
2010;2;Otros;0;mujer;794
2010;3;Estudiando ;1;hombre;2880
2010;3;Estudiando ;0;mujer;2750
2010;3;Oficios del Hogar ;1;hombre;296
2010;3;Oficios del Hogar ;0;mujer;5022
2010;3;Otros;1;hombre;1266
2010;3;Otros;0;mujer;809
2010;4;Estudiando ;1;hombre;2856
2010;4;Estudiando ;0;mujer;2747
2010;4;Oficios del Hogar ;1;hombre;278
2010;4;Oficios del Hogar ;0;mujer;4979
2010;4;Otros;1;hombre;1245
2010;4;Otros;0;mujer;833
2010;5;Estudiando ;1;hombre;2853
2010;5;Estudiando ;0;mujer;2719
2010;5;Oficios del Hogar ;1;hombre;292
2010;5;Oficios del Hogar ;0;mujer;5057
2010;5;Otros;1;hombre;1243
2010;5;Otros;0;mujer;857
2010;6;Estudiando ;1;hombre;2830
2010;6;Estudiando ;0;mujer;2715
2010;6;Oficios del Hogar ;1;hombre;307
2010;6;Oficios del Hogar ;0;mujer;5072
2010;6;Otros;1;hombre;1243
2010;6;Otros;0;mujer;855
2010;7;Estudiando ;1;hombre;2796
2010;7;Estudiando ;0;mujer;2700
2010;7;Oficios del Hogar ;1;hombre;316
2010;7;Oficios del Hogar ;0;mujer;4987
2010;7;Otros;1;hombre;1263
2010;7;Otros;0;mujer;869
2010;8;Estudiando ;1;hombre;2753
2010;8;Estudiando ;0;mujer;2726
2010;8;Oficios del Hogar ;1;hombre;323
2010;8;Oficios del Hogar ;0;mujer;4898
2010;8;Otros;1;hombre;1258
2010;8;Otros;0;mujer;840
2010;9;Estudiando ;1;hombre;2765
2010;9;Estudiando ;0;mujer;2691
2010;9;Oficios del Hogar ;1;hombre;312
2010;9;Oficios del Hogar ;0;mujer;4826
2010;9;Otros;1;hombre;1257
2010;9;Otros;0;mujer;828
2010;10;Estudiando ;1;hombre;2644
2010;10;Estudiando ;0;mujer;2534
2010;10;Oficios del Hogar ;1;hombre;325
2010;10;Oficios del Hogar ;0;mujer;5038
2010;10;Otros;1;hombre;1342
2010;10;Otros;0;mujer;862
2010;11;Estudiando ;1;hombre;2607
2010;11;Estudiando ;0;mujer;2463
2010;11;Oficios del Hogar ;1;hombre;316
2010;11;Oficios del Hogar ;0;mujer;5133
2010;11;Otros;1;hombre;1424
2010;11;Otros;0;mujer;970
2010;12;Estudiando ;1;hombre;2605
2010;12;Estudiando ;0;mujer;2503
2010;12;Oficios del Hogar ;1;hombre;317
2010;12;Oficios del Hogar ;0;mujer;5226
2010;12;Otros;1;hombre;1455
2010;12;Otros;0;mujer;969
2011;1;Estudiando ;1;hombre;2739
2011;1;Estudiando ;0;mujer;2675
2011;1;Oficios del Hogar ;1;hombre;291
2011;1;Oficios del Hogar ;0;mujer;5120
2011;1;Otros;1;hombre;1379
2011;1;Otros;0;mujer;923
2011;2;Estudiando ;1;hombre;2827
2011;2;Estudiando ;0;mujer;2748
2011;2;Oficios del Hogar ;1;hombre;282
2011;2;Oficios del Hogar ;0;mujer;5103
2011;2;Otros;1;hombre;1307
2011;2;Otros;0;mujer;852
2011;3;Estudiando ;1;hombre;2792
2011;3;Estudiando ;0;mujer;2759
2011;3;Oficios del Hogar ;1;hombre;274
2011;3;Oficios del Hogar ;0;mujer;5037
2011;3;Otros;1;hombre;1303
2011;3;Otros;0;mujer;844
2011;4;Estudiando ;1;hombre;2790
2011;4;Estudiando ;0;mujer;2701
2011;4;Oficios del Hogar ;1;hombre;281
2011;4;Oficios del Hogar ;0;mujer;5054
2011;4;Otros;1;hombre;1303
2011;4;Otros;0;mujer;862
2011;5;Estudiando ;1;hombre;2744
2011;5;Estudiando ;0;mujer;2673
2011;5;Oficios del Hogar ;1;hombre;283
2011;5;Oficios del Hogar ;0;mujer;5079
2011;5;Otros;1;hombre;1318
2011;5;Otros;0;mujer;849
2011;6;Estudiando ;1;hombre;2771
2011;6;Estudiando ;0;mujer;2674
2011;6;Oficios del Hogar ;1;hombre;305
2011;6;Oficios del Hogar ;0;mujer;5106
2011;6;Otros;1;hombre;1322
2011;6;Otros;0;mujer;876
2011;7;Estudiando ;1;hombre;2776
